t,L,a_w,a_b,temp
0,1,0.5,0.5,26.8742
100,1,0.412412,0.400449,26.4247
200,1,0.383961,0.352872,25.702
300,1,0.375911,0.326587,25.0079
400,1,0.375912,0.31075,24.4012
500,1,0.378941,0.300537,23.891
600,1,0.382784,0.293557,23.4721
700,1,0.386489,0.288549,23.1336
800,1,0.389701,0.284821,22.8631
900,1,0.392345,0.28197,22.6484
1000,1,0.394459,0.279751,22.4787
1100,1,0.396124,0.278005,22.345
1200,1,0.397425,0.276623,22.2397
1300,1,0.398438,0.275525,22.1567
1400,1,0.399226,0.274651,22.0914
1500,1,0.39984,0.273956,22.0399
1600,1,0.400319,0.273403,21.9993
1700,1,0.400693,0.272963,21.9672
1800,1,0.400985,0.272613,21.9419
1900,1,0.401215,0.272335,21.9219
2000,1,0.401395,0.272114,21.906
2100,1,0.401537,0.271938,21.8935
2200,1,0.401649,0.271799,21.8836
2300,1,0.401737,0.271689,21.8758
2400,1,0.401807,0.271601,21.8696
2500,1,0.401862,0.271531,21.8647
2600,1,0.401905,0.271476,21.8608
2700,1,0.40194,0.271433,21.8577
2800,1,0.401967,0.271398,21.8553
2900,1,0.401989,0.27137,21.8534
3000,1,0.402005,0.271349,21.8518
3100,1,0.402019,0.271332,21.8506
3200,1,0.40203,0.271318,21.8497
3300,1,0.402039,0.271307,21.8489
3400,1,0.402045,0.271298,21.8483
3500,1,0.40205,0.271292,21.8478
3600,1,0.402054,0.271286,21.8475
3700,1,0.402057,0.271283,21.8472
3800,1,0.40206,0.27128,21.847
3900,1,0.402063,0.271277,21.8467
4000,1,0.402064,0.271274,21.8466
4100,1,0.402065,0.271272,21.8465
4200,1,0.402065,0.271272,21.8465
4300,1,0.402065,0.271272,21.8465
4400,1,0.402065,0.271272,21.8465
4500,1,0.402065,0.271272,21.8465
4600,1,0.402065,0.271272,21.8465
4700,1,0.402065,0.271272,21.8465
4800,1,0.402065,0.271272,21.8465
4900,1,0.402065,0.271272,21.8465
5000,1,0.402065,0.271272,21.8465
5100,1,0.402065,0.271272,21.8465
5200,1,0.402065,0.271272,21.8465
5300,1,0.402065,0.271272,21.8465
5400,1,0.402065,0.271272,21.8465
5500,1,0.402065,0.271272,21.8465
5600,1,0.402065,0.271272,21.8465
5700,1,0.402065,0.271272,21.8465
5800,1,0.402065,0.271272,21.8465
5900,1,0.402065,0.271272,21.8465
6000,1,0.402065,0.271272,21.8465
6100,1,0.402065,0.271272,21.8465
6200,1,0.402065,0.271272,21.8465
6300,1,0.402065,0.271272,21.8465
6400,1,0.402065,0.271272,21.8465
6500,1,0.402065,0.271272,21.8465
6600,1,0.402065,0.271272,21.8465
6700,1,0.402065,0.271272,21.8465
6800,1,0.402065,0.271272,21.8465
6900,1,0.402065,0.271272,21.8465
7000,1,0.402065,0.271272,21.8465
7100,1,0.402065,0.271272,21.8465
7200,1,0.402065,0.271272,21.8465
7300,1,0.402065,0.271272,21.8465
7400,1,0.402065,0.271272,21.8465
7500,1,0.402065,0.271272,21.8465
7600,1,0.402065,0.271272,21.8465
7700,1,0.402065,0.271272,21.8465
7800,1,0.402065,0.271272,21.8465
7900,1,0.402065,0.271272,21.8465
8000,1,0.402065,0.271272,21.8465
8100,1,0.402065,0.271272,21.8465
8200,1,0.402065,0.271272,21.8465
8300,1,0.402065,0.271272,21.8465
8400,1,0.402065,0.271272,21.8465
8500,1,0.402065,0.271272,21.8465
8600,1,0.402065,0.271272,21.8465
8700,1,0.402065,0.271272,21.8465
8800,1,0.402065,0.271272,21.8465
8900,1,0.402065,0.271272,21.8465
9000,1,0.402065,0.271272,21.8465
9100,1,0.402065,0.271272,21.8465
9200,1,0.402065,0.271272,21.8465
9300,1,0.402065,0.271272,21.8465
9400,1,0.402065,0.271272,21.8465
9500,1,0.402065,0.271272,21.8465
9600,1,0.402065,0.271272,21.8465
9700,1,0.402065,0.271272,21.8465
9800,1,0.402065,0.271272,21.8465
9900,1,0.402065,0.271272,21.8465
10000,1,0.402065,0.271272,21.8465
