t,L,a_w,a_b,temp
0,0.5,0.33,0.33,-20.8369
50000,0.5,0,0,-20.8369
100000,0.51,0,0,-19.5854
150000,0.52,0,0,-18.3522
200000,0.53,0,0,-17.1367
250000,0.54,0,0,-15.9382
300000,0.55,0,0,-14.7563
350000,0.56,0,0,-13.5904
400000,0.57,0,0,-12.44
450000,0.58,0,0,-11.3046
500000,0.59,0,0,-10.1838
550000,0.6,0,0,-9.07722
600000,0.61,0,0,-7.98435
650000,0.62,0,0,-6.90483
700000,0.63,0,0,-5.83829
750000,0.64,0,0,-4.78438
800000,0.65,0,0,-3.74274
850000,0.66,0,0,-2.71306
900000,0.67,0,0,-1.69501
950000,0.68,0,0,-0.688303
1000000,0.69,0,0,0.307369
1050000,0.7,0,0,1.29228
1100000,0.71,0,0,2.26669
1150000,0.72,0,0.687688,24.4126
1200000,0.73,0,0.680384,25.237
1250000,0.74,0.00560621,0.668349,25.7596
1300000,0.75,0.0256706,0.647666,25.6104
1350000,0.76,0.0465315,0.626805,25.4018
1400000,0.77,0.066729,0.606607,25.1999
1450000,0.78,0.0862991,0.587037,25.0041
1500000,0.79,0.105267,0.56807,24.8144
1550000,0.8,0.123662,0.549675,24.6305
1600000,0.81,0.141505,0.531831,24.4521
1650000,0.82,0.158829,0.514508,24.2789
1700000,0.83,0.175654,0.497682,24.1105
1750000,0.84,0.191998,0.481338,23.947
1800000,0.85,0.207883,0.465453,23.7882
1850000,0.86,0.22333,0.450006,23.6337
1900000,0.87,0.238355,0.434981,23.4834
1950000,0.88,0.252973,0.420362,23.3374
2000000,0.89,0.267207,0.406128,23.195
2050000,0.9,0.281068,0.392267,23.0564
2100000,0.91,0.294572,0.378764,22.9214
2150000,0.92,0.307731,0.365604,22.7898
2200000,0.93,0.32056,0.352776,22.6615
2250000,0.94,0.33307,0.340266,22.5364
2300000,0.95,0.345274,0.328063,22.4144
2350000,0.96,0.357182,0.316155,22.2953
2400000,0.97,0.368805,0.304532,22.1791
2450000,0.98,0.380153,0.293183,22.0656
2500000,0.99,0.391237,0.2821,21.9547
2550000,1,0.402065,0.271272,21.8465
2600000,1.01,0.412646,0.260691,21.7407
2650000,1.02,0.422989,0.250349,21.6372
2700000,1.03,0.433102,0.240234,21.536
2750000,1.04,0.442991,0.230345,21.4371
2800000,1.05,0.452665,0.220671,21.3403
2850000,1.06,0.462131,0.211205,21.2457
2900000,1.07,0.471395,0.201942,21.1531
2950000,1.08,0.480463,0.192873,21.0624
3000000,1.09,0.489342,0.183994,20.9736
3050000,1.1,0.498038,0.175298,20.8866
3100000,1.11,0.506554,0.166781,20.8016
3150000,1.12,0.5149,0.158435,20.7182
3200000,1.13,0.52308,0.150256,20.6364
3250000,1.14,0.531097,0.142239,20.5562
3300000,1.15,0.538956,0.13438,20.4776
3350000,1.16,0.546664,0.126673,20.4006
3400000,1.17,0.554224,0.119111,20.3248
3450000,1.18,0.561639,0.111696,20.2507
3500000,1.19,0.568914,0.104421,20.1779
3550000,1.2,0.576053,0.0972824,20.1066
3600000,1.21,0.58306,0.0902753,20.0365
3650000,1.22,0.589939,0.0833969,19.9677
3700000,1.23,0.596693,0.0766435,19.9002
3750000,1.24,0.603325,0.0700118,19.8339
3800000,1.25,0.609838,0.0634985,19.7688
3850000,1.26,0.616238,0.0570977,19.7047
3900000,1.27,0.622524,0.0508115,19.6418
3950000,1.28,0.628701,0.0446346,19.5801
4000000,1.29,0.634772,0.038564,19.5194
4050000,1.3,0.640739,0.0325972,19.4598
4100000,1.31,0.646606,0.0267292,19.401
4150000,1.32,0.652374,0.020962,19.3434
4200000,1.33,0.658046,0.015289,19.2866
4250000,1.34,0.663622,0.00971915,19.2314
4300000,1.35,0.668927,0.0049058,19.2233
4350000,1.36,0.673697,0.00176675,19.3287
4400000,1.37,0.677956,0,19.5319
4450000,1.38,0.681452,0,19.8703
4500000,1.39,0.684681,0,20.2197
4550000,1.4,0.687635,0,20.5805
4600000,1.41,0.69031,0,20.9534
4650000,1.42,0.692695,0,21.339
4700000,1.43,0.69478,0,21.7383
4750000,1.44,0.696549,0,22.1521
4800000,1.45,0.697984,0,22.5818
4850000,1.46,0.69906,0,23.0289
4900000,1.47,0.699745,0,23.4955
4950000,1.48,0.699996,0,23.9841
5000000,1.49,0.699753,0,24.4984
5050000,1.5,0.698937,0,25.043
5100000,1.51,0.697428,0,25.625
5150000,1.52,0.695043,0,26.2551
5200000,1.53,0.691477,0,26.9506
5250000,1.54,0.686153,0,27.7447
5300000,1.55,0.677686,0,28.7159
5350000,1.56,0.659696,0,30.224
5400000,1.57,0,0,62.6711
5450000,1.58,0,0,63.2044
5500000,1.59,0,0,63.7351
5550000,1.6,0,0,64.2633
5600000,1.61,0,0,64.789
5650000,1.62,0,0,65.3123
5700000,1.63,0,0,65.8332
5750000,1.64,0,0,66.3517
5800000,1.65,0,0,66.8678
5850000,1.66,0,0,67.3816
5900000,1.67,0,0,67.8931
5950000,1.68,0,0,68.4023
6000000,1.69,0,0,68.9092
6050000,1.7,0,0,69.4138
6100000,1.69,0,0,68.9092
6150000,1.68,0,0,68.4023
6200000,1.67,0,0,67.8931
6250000,1.66,0,0,67.3816
6300000,1.65,0,0,66.8678
6350000,1.64,0,0,66.3517
6400000,1.63,0,0,65.8332
6450000,1.62,0,0,65.3123
6500000,1.61,0,0,64.789
