t,L,a_w,a_b,min_lat_w,mean_lat_w,max_lat_w,min_lat_b,mean_lat_b,max_lat_b,temp
0,0.5,0,0.33,,,,0,44.500011,89,-7.80802
50000,0.5,0,0,,,,,,,-17.7423
100000,0.51,0,0,,,,,,,-16.4754
150000,0.52,0,0,,,,,,,-15.2271
200000,0.53,0,0,,,,,,,-13.9967
250000,0.54,0,0,,,,,,,-12.7835
300000,0.55,0,0,,,,,,,-11.5871
350000,0.56,0,0,,,,,,,-10.4068
400000,0.57,0,0,,,,,,,-9.24231
450000,0.58,0,0,,,,,,,-8.09301
500000,0.59,0,0,,,,,,,-6.95849
550000,0.6,0,0,,,,,,,-5.83829
600000,0.61,0,0,,,,,,,-4.732
650000,0.62,0,0.00637845,,,,85,87.740364,89,-3.33555
700000,0.63,0,0.195457,,,,61,75.495010,89,5.63968
750000,0.64,0,0.679578,,,,0,45.098259,89,19.2127
800000,0.65,0,0.682917,,,,0,44.671684,89,20.3626
850000,0.66,0,0.682765,,,,0,44.290535,89,21.4115
900000,0.67,0,0.679812,,,,0,43.922256,89,22.3727
950000,0.68,0,0.674463,,,,0,43.544754,89,23.2532
1000000,0.69,0,0.666965,,,,0,43.140682,89,24.0568
1050000,0.7,0,0.657491,,,,0,42.694530,89,24.7853
1100000,0.71,0,0.646172,,,,0,42.191349,89,25.4399
1150000,0.72,0,0.63313,,,,0,41.616238,89,26.0217
1200000,0.73,0,0.618491,,,,0,40.954021,89,26.5319
1250000,0.74,0,0.602393,,,,0,40.189037,89,26.9726
1300000,0.75,0,0.584997,,,,0,39.305550,89,27.3468
1350000,0.76,0,0.566474,,,,0,38.287560,89,27.6583
1400000,0.77,0,0.547126,,,,0,37.139362,88,27.9181
1450000,0.78,0,0.52781,,,,0,35.981129,86,28.1706
1500000,0.79,0,0.508664,,,,0,34.835632,83,28.4239
1550000,0.8,0,0.489683,,,,0,33.701538,81,28.6779
1600000,0.81,0,0.470866,,,,0,32.578865,78,28.933
1650000,0.82,0,0.452204,,,,0,31.465790,76,29.189
1700000,0.83,0,0.433698,,,,0,30.362535,73,29.4463
1750000,0.84,0,0.415343,,,,0,29.268320,71,29.7049
1800000,0.85,0,0.397135,,,,0,28.182089,69,29.965
1850000,0.86,0,0.379072,,,,0,27.103432,66,30.2268
1900000,0.87,0,0.361148,,,,0,26.030962,64,30.4902
