t,L,a_w,a_b,temp
0,1,0,0.5,44.0783
100,1,0,0.291675,37.2557
200,1,0,0.222581,34.8903
300,1,0,0.191506,33.8084
400,1,0,0.175071,33.2316
500,1,0,0.16558,32.8969
600,1,0,0.159809,32.693
700,1,0,0.15619,32.5648
800,1,0,0.153874,32.4827
900,1,0,0.152374,32.4295
1000,1,0,0.151394,32.3947
1100,1,0,0.15075,32.3719
1200,1,0,0.150326,32.3568
1300,1,0,0.150046,32.3469
1400,1,0,0.149861,32.3403
1500,1,0,0.149738,32.336
1600,1,0,0.149657,32.3331
1700,1,0,0.149603,32.3312
1800,1,0,0.149568,32.3299
1900,1,0,0.149544,32.3291
2000,1,0,0.149528,32.3285
2100,1,0,0.149518,32.3281
2200,1,0,0.149511,32.3279
2300,1,0,0.149506,32.3277
2400,1,0,0.149503,32.3276
2500,1,0,0.149501,32.3276
2600,1,0,0.1495,32.3275
2700,1,0,0.149499,32.3275
2800,1,0,0.149499,32.3275
2900,1,0,0.149499,32.3275
3000,1,0,0.149499,32.3275
3100,1,0,0.149499,32.3275
3200,1,0,0.149499,32.3275
3300,1,0,0.149499,32.3275
3400,1,0,0.149499,32.3275
3500,1,0,0.149499,32.3275
3600,1,0,0.149499,32.3275
3700,1,0,0.149499,32.3275
3800,1,0,0.149499,32.3275
3900,1,0,0.149499,32.3275
4000,1,0,0.149499,32.3275
4100,1,0,0.149499,32.3275
4200,1,0,0.149499,32.3275
4300,1,0,0.149499,32.3275
4400,1,0,0.149499,32.3275
4500,1,0,0.149499,32.3275
4600,1,0,0.149499,32.3275
4700,1,0,0.149499,32.3275
4800,1,0,0.149499,32.3275
4900,1,0,0.149499,32.3275
5000,1,0,0.149499,32.3275
5100,1,0,0.149499,32.3275
5200,1,0,0.149499,32.3275
5300,1,0,0.149499,32.3275
5400,1,0,0.149499,32.3275
5500,1,0,0.149499,32.3275
5600,1,0,0.149499,32.3275
5700,1,0,0.149499,32.3275
5800,1,0,0.149499,32.3275
5900,1,0,0.149499,32.3275
6000,1,0,0.149499,32.3275
6100,1,0,0.149499,32.3275
6200,1,0,0.149499,32.3275
6300,1,0,0.149499,32.3275
6400,1,0,0.149499,32.3275
6500,1,0,0.149499,32.3275
6600,1,0,0.149499,32.3275
6700,1,0,0.149499,32.3275
6800,1,0,0.149499,32.3275
6900,1,0,0.149499,32.3275
7000,1,0,0.149499,32.3275
7100,1,0,0.149499,32.3275
7200,1,0,0.149499,32.3275
7300,1,0,0.149499,32.3275
7400,1,0,0.149499,32.3275
7500,1,0,0.149499,32.3275
7600,1,0,0.149499,32.3275
7700,1,0,0.149499,32.3275
7800,1,0,0.149499,32.3275
7900,1,0,0.149499,32.3275
8000,1,0,0.149499,32.3275
8100,1,0,0.149499,32.3275
8200,1,0,0.149499,32.3275
8300,1,0,0.149499,32.3275
8400,1,0,0.149499,32.3275
8500,1,0,0.149499,32.3275
8600,1,0,0.149499,32.3275
8700,1,0,0.149499,32.3275
8800,1,0,0.149499,32.3275
8900,1,0,0.149499,32.3275
9000,1,0,0.149499,32.3275
9100,1,0,0.149499,32.3275
9200,1,0,0.149499,32.3275
9300,1,0,0.149499,32.3275
9400,1,0,0.149499,32.3275
9500,1,0,0.149499,32.3275
9600,1,0,0.149499,32.3275
9700,1,0,0.149499,32.3275
9800,1,0,0.149499,32.3275
9900,1,0,0.149499,32.3275
10000,1,0,0.149499,32.3275
