t,L,a_w,a_b,temp
0,0.5,0,0,-20.8369
50000,0.5,0,0,-20.8369
100000,0.51,0,0,-19.5854
150000,0.52,0,0,-18.3522
200000,0.53,0,0,-17.1367
250000,0.54,0,0,-15.9382
300000,0.55,0,0,-14.7563
350000,0.56,0,0,-13.5904
400000,0.57,0,0,-12.44
450000,0.58,0,0,-11.3046
500000,0.59,0,0,-10.1838
550000,0.6,0,0,-9.07722
600000,0.61,0,0,-7.98435
650000,0.62,0,0,-6.90483
700000,0.63,0,0,-5.83829
750000,0.64,0,0,-4.78438
800000,0.65,0,0,-3.74274
850000,0.66,0,0,-2.71306
900000,0.67,0,0,-1.69501
950000,0.68,0,0,-0.688303
1000000,0.69,0,0,0.307369
1050000,0.7,0,0,1.29228
1100000,0.71,0,0,2.26669
1150000,0.72,0,0,3.23086
1200000,0.73,0,0,4.18504
1250000,0.74,0,0,5.12947
1300000,0.75,0,0,6.06437
1350000,0.76,0,0,6.98997
1400000,0.77,0,0,7.90648
1450000,0.78,0,0,8.8141
1500000,0.79,0,0,9.71304
1550000,0.8,0,0,10.6035
1600000,0.81,0,0,11.4856
1650000,0.82,0,0,12.3596
1700000,0.83,0,0,13.2257
1750000,0.84,0,0,14.0839
1800000,0.85,0,0,14.9346
1850000,0.86,0,0,15.7777
1900000,0.87,0,0,16.6136
1950000,0.88,0,0,17.4422
2000000,0.89,0,0,18.2638
2050000,0.9,0,0,19.0786
2100000,0.91,0,0,19.8865
2150000,0.92,0,0,20.6879
2200000,0.93,0,0,21.4827
2250000,0.94,0,0,22.2712
2300000,0.95,0,0,23.0533
2350000,0.96,0,0,23.8294
2400000,0.97,0,0,24.5994
2450000,0.98,0,0,25.3634
2500000,0.99,0,0,26.1217
2550000,1,0,0,26.8742
2600000,1.01,0,0,27.6211
2650000,1.02,0,0,28.3624
2700000,1.03,0,0,29.0984
2750000,1.04,0,0,29.829
2800000,1.05,0,0,30.5543
2850000,1.06,0,0,31.2745
2900000,1.07,0,0,31.9896
2950000,1.08,0,0,32.6997
3000000,1.09,0,0,33.4049
3050000,1.1,0,0,34.1053
3100000,1.11,0,0,34.8009
3150000,1.12,0,0,35.4918
3200000,1.13,0,0,36.1781
3250000,1.14,0,0,36.8598
3300000,1.15,0,0,37.5371
3350000,1.16,0,0,38.21
3400000,1.17,0,0,38.8786
3450000,1.18,0,0,39.5429
3500000,1.19,0,0,40.2029
3550000,1.2,0,0,40.8588
3600000,1.21,0,0,41.5107
3650000,1.22,0,0,42.1585
3700000,1.23,0,0,42.8023
3750000,1.24,0,0,43.4423
3800000,1.25,0,0,44.0783
3850000,1.26,0,0,44.7106
3900000,1.27,0,0,45.3391
3950000,1.28,0,0,45.9639
4000000,1.29,0,0,46.5851
4050000,1.3,0,0,47.2026
4100000,1.31,0,0,47.8167
4150000,1.32,0,0,48.4272
4200000,1.33,0,0,49.0342
4250000,1.34,0,0,49.6378
4300000,1.35,0,0,50.2381
4350000,1.36,0,0,50.835
4400000,1.37,0,0,51.4287
4450000,1.38,0,0,52.0191
4500000,1.39,0,0,52.6063
4550000,1.4,0,0,53.1903
4600000,1.41,0,0,53.7713
4650000,1.42,0,0,54.3491
4700000,1.43,0,0,54.9239
4750000,1.44,0,0,55.4957
4800000,1.45,0,0,56.0645
4850000,1.46,0,0,56.6304
4900000,1.47,0,0,57.1934
4950000,1.48,0,0,57.7535
5000000,1.49,0,0,58.3108
5050000,1.5,0,0,58.8653
5100000,1.51,0,0,59.4171
5150000,1.52,0,0,59.9661
5200000,1.53,0,0,60.5124
5250000,1.54,0,0,61.056
5300000,1.55,0,0,61.597
5350000,1.56,0,0,62.1353
5400000,1.57,0,0,62.6711
5450000,1.58,0,0,63.2044
5500000,1.59,0,0,63.7351
5550000,1.6,0,0,64.2633
5600000,1.61,0,0,64.789
5650000,1.62,0,0,65.3123
5700000,1.63,0,0,65.8332
5750000,1.64,0,0,66.3517
5800000,1.65,0,0,66.8678
5850000,1.66,0,0,67.3816
5900000,1.67,0,0,67.8931
5950000,1.68,0,0,68.4023
6000000,1.69,0,0,68.9092
6050000,1.7,0,0,69.4138
6100000,1.69,0,0,68.9092
6150000,1.68,0,0,68.4023
6200000,1.67,0,0,67.8931
6250000,1.66,0,0,67.3816
6300000,1.65,0,0,66.8678
6350000,1.64,0,0,66.3517
6400000,1.63,0,0,65.8332
6450000,1.62,0,0,65.3123
6500000,1.61,0,0,64.789
6550000,1.6,0,0,64.2633
6600000,1.59,0,0,63.7351
6650000,1.58,0,0,63.2044
6700000,1.57,0,0,62.6711
6750000,1.56,0,0,62.1353
6800000,1.55,0,0,61.597
6850000,1.54,0,0,61.056
6900000,1.53,0,0,60.5124
6950000,1.52,0,0,59.9661
7000000,1.51,0,0,59.4171
7050000,1.5,0,0,58.8653
7100000,1.49,0,0,58.3108
7150000,1.48,0,0,57.7535
7200000,1.47,0,0,57.1934
7250000,1.46,0,0,56.6304
