t,L,a_w,a_b,min_lat_w,mean_lat_w,max_lat_w,min_lat_b,mean_lat_b,max_lat_b,temp
0,0.5,0,0,,,,,,,-17.7423
50000,0.5,0,0,,,,,,,-17.7423
100000,0.51,0,0,,,,,,,-16.4754
150000,0.52,0,0,,,,,,,-15.2271
200000,0.53,0,0,,,,,,,-13.9967
250000,0.54,0,0,,,,,,,-12.7835
300000,0.55,0,0,,,,,,,-11.5871
350000,0.56,0,0,,,,,,,-10.4068
400000,0.57,0,0,,,,,,,-9.24231
450000,0.58,0,0,,,,,,,-8.09301
500000,0.59,0,0,,,,,,,-6.95849
550000,0.6,0,0,,,,,,,-5.83829
600000,0.61,0,0,,,,,,,-4.732
650000,0.62,0,0,,,,,,,-3.63924
700000,0.63,0,0,,,,,,,-2.55962
750000,0.64,0,0,,,,,,,-1.49277
800000,0.65,0,0,,,,,,,-0.438352
850000,0.66,0,0,,,,,,,0.60397
900000,0.67,0,0,,,,,,,1.63451
950000,0.68,0,0,,,,,,,2.65358
1000000,0.69,0,0,,,,,,,3.66147
1050000,0.7,0,0,,,,,,,4.65846
1100000,0.71,0,0,,,,,,,5.64483
1150000,0.72,0,0,,,,,,,6.62083
1200000,0.73,0,0,,,,,,,7.58672
1250000,0.74,0,0,,,,,,,8.54274
1300000,0.75,0,0,,,,,,,9.48912
1350000,0.76,0,0,,,,,,,10.4261
1400000,0.77,0,0,,,,,,,11.3538
1450000,0.78,0,0,,,,,,,12.2726
1500000,0.79,0,0,,,,,,,13.1826
1550000,0.8,0,0,,,,,,,14.0839
1600000,0.81,0,0,,,,,,,14.9769
1650000,0.82,0,0,,,,,,,15.8616
1700000,0.83,0,0,,,,,,,16.7383
1750000,0.84,0,0,,,,,,,17.6071
1800000,0.85,0,0,,,,,,,18.4682
1850000,0.86,0,0,,,,,,,19.3217
1900000,0.87,0,0,,,,,,,20.1678
1950000,0.88,0,0,,,,,,,21.0066
2000000,0.89,0,0,,,,,,,21.8383
2050000,0.9,0,0,,,,,,,22.663
2100000,0.91,0,0,,,,,,,23.4809
2150000,0.92,0,0,,,,,,,24.2921
2200000,0.93,0,0,,,,,,,25.0967
2250000,0.94,0,0,,,,,,,25.8948
2300000,0.95,0,0,,,,,,,26.6866
2350000,0.96,0,0,,,,,,,27.4721
2400000,0.97,0,0,,,,,,,28.2516
2450000,0.98,0,0,,,,,,,29.025
2500000,0.99,0,0,,,,,,,29.7926
2550000,1,0,0,,,,,,,30.5543
2600000,1.01,0,0,,,,,,,31.3104
2650000,1.02,0,0,,,,,,,32.0608
2700000,1.03,0,0,,,,,,,32.8058
2750000,1.04,0,0,,,,,,,33.5454
2800000,1.05,0,0,,,,,,,34.2796
2850000,1.06,0,0,,,,,,,35.0086
2900000,1.07,0,0,,,,,,,35.7325
2950000,1.08,0,0,,,,,,,36.4513
3000000,1.09,0,0,,,,,,,37.1652
3050000,1.1,0,0,,,,,,,37.8741
3100000,1.11,0,0,,,,,,,38.5783
3150000,1.12,0,0,,,,,,,39.2777
3200000,1.13,0,0,,,,,,,39.9724
3250000,1.14,0,0,,,,,,,40.6625
3300000,1.15,0,0,,,,,,,41.3481
3350000,1.16,0,0,,,,,,,42.0293
3400000,1.17,0,0,,,,,,,42.706
3450000,1.18,0,0,,,,,,,43.3785
3500000,1.19,0,0,,,,,,,44.0466
3550000,1.2,0,0,,,,,,,44.7106
3600000,1.21,0,0,,,,,,,45.3704
3650000,1.22,0,0,,,,,,,46.0262
3700000,1.23,0,0,,,,,,,46.678
3750000,1.24,0,0,,,,,,,47.3257
3800000,1.25,0,0,,,,,,,47.9696
3850000,1.26,0,0,,,,,,,48.6096
3900000,1.27,0,0,,,,,,,49.2459
3950000,1.28,0,0,,,,,,,49.8783
4000000,1.29,0,0,,,,,,,50.5071
4050000,1.3,0,0,,,,,,,51.1323
4100000,1.31,0,0,,,,,,,51.7538
4150000,1.32,0,0,,,,,,,52.3718
4200000,1.33,0,0,,,,,,,52.9863
4250000,1.34,0,0,,,,,,,53.5973
4300000,1.35,0,0,,,,,,,54.2049
4350000,1.36,0,0,,,,,,,54.8092
4400000,1.37,0,0,,,,,,,55.4101
4450000,1.38,0,0,,,,,,,56.0078
4500000,1.39,0,0,,,,,,,56.6022
4550000,1.4,0,0,,,,,,,57.1934
4600000,1.41,0,0,,,,,,,57.7815
4650000,1.42,0,0,,,,,,,58.3664
4700000,1.43,0,0,,,,,,,58.9483
4750000,1.44,0,0,,,,,,,59.5271
4800000,1.45,0,0,,,,,,,60.1029
4850000,1.46,0,0,,,,,,,60.6757
4900000,1.47,0,0,,,,,,,61.2456
4950000,1.48,0,0,,,,,,,61.8126
5000000,1.49,0,0,,,,,,,62.3768
5050000,1.5,0,0,,,,,,,62.9381
5100000,1.51,0,0,,,,,,,63.4966
5150000,1.52,0,0,,,,,,,64.0523
5200000,1.53,0,0,,,,,,,64.6053
5250000,1.54,0,0,,,,,,,65.1556
5300000,1.55,0,0,,,,,,,65.7032
5350000,1.56,0,0,,,,,,,66.2482
5400000,1.57,0,0,,,,,,,66.7906
5450000,1.58,0,0,,,,,,,67.3303
5500000,1.59,0,0,,,,,,,67.8676
5550000,1.6,0,0,,,,,,,68.4023
5600000,1.61,0,0,,,,,,,68.9345
5650000,1.62,0,0,,,,,,,69.4642
5700000,1.63,0,0,,,,,,,69.9915
5750000,1.64,0,0,,,,,,,70.5163
5800000,1.65,0,0,,,,,,,71.0388
5850000,1.66,0,0,,,,,,,71.5589
5900000,1.67,0,0,,,,,,,72.0766
5950000,1.68,0,0,,,,,,,72.592
6000000,1.69,0,0,,,,,,,73.1052
6050000,1.7,0,0,,,,,,,73.616
6100000,1.69,0,0,,,,,,,73.1052
6150000,1.68,0,0,,,,,,,72.592
6200000,1.67,0,0,,,,,,,72.0766
6250000,1.66,0,0,,,,,,,71.5589
6300000,1.65,0,0,,,,,,,71.0388
6350000,1.64,0,0,,,,,,,70.5163
6400000,1.63,0,0,,,,,,,69.9915
6450000,1.62,0,0,,,,,,,69.4642
6500000,1.61,0,0,,,,,,,68.9345
6550000,1.6,0,0,,,,,,,68.4023
6600000,1.59,0,0,,,,,,,67.8676
6650000,1.58,0,0,,,,,,,67.3303
6700000,1.57,0,0,,,,,,,66.7906
6750000,1.56,0,0,,,,,,,66.2482
