t,L,a_w,a_b,temp
0,0.5,0.33,0,-31.9522
50000,0.5,0,0,-20.8369
100000,0.51,0,0,-19.5854
150000,0.52,0,0,-18.3522
200000,0.53,0,0,-17.1367
250000,0.54,0,0,-15.9382
300000,0.55,0,0,-14.7563
350000,0.56,0,0,-13.5904
400000,0.57,0,0,-12.44
450000,0.58,0,0,-11.3046
500000,0.59,0,0,-10.1838
550000,0.6,0,0,-9.07722
600000,0.61,0,0,-7.98435
650000,0.62,0,0,-6.90483
700000,0.63,0,0,-5.83829
750000,0.64,0,0,-4.78438
800000,0.65,0,0,-3.74274
850000,0.66,0,0,-2.71306
900000,0.67,0,0,-1.69501
950000,0.68,0,0,-0.688303
1000000,0.69,0,0,0.307369
1050000,0.7,0,0,1.29228
1100000,0.71,0,0,2.26669
1150000,0.72,0,0,3.23086
1200000,0.73,0,0,4.18504
1250000,0.74,0,0,5.12947
1300000,0.75,0,0,6.06437
1350000,0.76,0,0,6.98997
1400000,0.77,0,0,7.90648
1450000,0.78,0,0,8.8141
1500000,0.79,0,0,9.71304
1550000,0.8,0,0,10.6035
1600000,0.81,0,0,11.4856
1650000,0.82,0,0,12.3596
1700000,0.83,0.0108112,0,12.8381
1750000,0.84,0.0356487,0,12.796
1800000,0.85,0.0597421,0,12.7598
1850000,0.86,0.0831178,0,12.7295
1900000,0.87,0.105804,0,12.7049
1950000,0.88,0.127823,0,12.686
2000000,0.89,0.149201,0,12.6728
2050000,0.9,0.169959,0,12.6652
2100000,0.91,0.190119,0,12.6633
2150000,0.92,0.209699,0,12.667
2200000,0.93,0.228719,0,12.6763
2250000,0.94,0.247197,0,12.6912
2300000,0.95,0.265148,0,12.7117
2350000,0.96,0.28259,0,12.7379
2400000,0.97,0.299538,0,12.7697
2450000,0.98,0.316005,0,12.8073
2500000,0.99,0.332006,0,12.8505
2550000,1,0.347552,0,12.8996
2600000,1.01,0.362656,0,12.9545
2650000,1.02,0.37733,0,13.0152
2700000,1.03,0.391585,0,13.0819
2750000,1.04,0.40543,0,13.1546
2800000,1.05,0.418877,0,13.2334
2850000,1.06,0.431934,0,13.3183
2900000,1.07,0.444609,0,13.4095
2950000,1.08,0.456913,0,13.5069
3000000,1.09,0.468852,0,13.6108
3050000,1.1,0.480434,0,13.7211
3100000,1.11,0.491666,0,13.838
3150000,1.12,0.502555,0,13.9616
3200000,1.13,0.513109,0,14.0919
3250000,1.14,0.523333,0,14.2291
3300000,1.15,0.533233,0,14.3732
3350000,1.16,0.542815,0,14.5244
3400000,1.17,0.552084,0,14.6828
3450000,1.18,0.561046,0,14.8484
3500000,1.19,0.569705,0,15.0214
3550000,1.2,0.578066,0,15.2018
3600000,1.21,0.586133,0,15.3899
3650000,1.22,0.593912,0,15.5856
3700000,1.23,0.601404,0,15.7892
3750000,1.24,0.608616,0,16.0006
3800000,1.25,0.615549,0,16.2201
3850000,1.26,0.622207,0,16.4477
3900000,1.27,0.628594,0,16.6837
3950000,1.28,0.634712,0,16.928
4000000,1.29,0.640564,0,17.1808
4050000,1.3,0.646151,0,17.4424
4100000,1.31,0.651475,0,17.7128
4150000,1.32,0.656539,0,17.9922
4200000,1.33,0.661342,0,18.2808
4250000,1.34,0.665886,0,18.5788
4300000,1.35,0.670171,0,18.8865
4350000,1.36,0.674194,0,19.2041
4400000,1.37,0.677956,0,19.5319
4450000,1.38,0.681452,0,19.8703
4500000,1.39,0.684681,0,20.2197
4550000,1.4,0.687635,0,20.5805
4600000,1.41,0.69031,0,20.9534
4650000,1.42,0.692695,0,21.339
4700000,1.43,0.69478,0,21.7383
4750000,1.44,0.696549,0,22.1521
4800000,1.45,0.697984,0,22.5818
4850000,1.46,0.69906,0,23.0289
4900000,1.47,0.699745,0,23.4955
4950000,1.48,0.699996,0,23.9841
5000000,1.49,0.699762,0,24.4978
5050000,1.5,0.698947,0,25.0425
5100000,1.51,0.697438,0,25.6245
5150000,1.52,0.695054,0,26.2544
5200000,1.53,0.69149,0,26.9499
5250000,1.54,0.686168,0,27.7438
5300000,1.55,0.677707,0,28.7147
5350000,1.56,0.659744,0,30.2213
5400000,1.57,0,0,62.6711
5450000,1.58,0,0,63.2044
5500000,1.59,0,0,63.7351
5550000,1.6,0,0,64.2633
5600000,1.61,0,0,64.789
5650000,1.62,0,0,65.3123
5700000,1.63,0,0,65.8332
5750000,1.64,0,0,66.3517
5800000,1.65,0,0,66.8678
5850000,1.66,0,0,67.3816
5900000,1.67,0,0,67.8931
5950000,1.68,0,0,68.4023
6000000,1.69,0,0,68.9092
6050000,1.7,0,0,69.4138
6100000,1.69,0,0,68.9092
6150000,1.68,0,0,68.4023
6200000,1.67,0,0,67.8931
6250000,1.66,0,0,67.3816
6300000,1.65,0,0,66.8678
6350000,1.64,0,0,66.3517
6400000,1.63,0,0,65.8332
6450000,1.62,0,0,65.3123
6500000,1.61,0,0,64.789
6550000,1.6,0,0,64.2633
6600000,1.59,0,0,63.7351
6650000,1.58,0,0,63.2044
6700000,1.57,0,0,62.6711
6750000,1.56,0,0,62.1353
6800000,1.55,0,0,61.597
6850000,1.54,0,0,61.056
6900000,1.53,0,0,60.5124
6950000,1.52,0,0,59.9661
7000000,1.51,0,0,59.4171
7050000,1.5,0,0,58.8653
7100000,1.49,0,0,58.3108
7150000,1.48,0,0,57.7535
7200000,1.47,0,0,57.1934
7250000,1.46,0,0,56.6304
7300000,1.45,0,0,56.0645
7350000,1.44,0,0,55.4957
7400000,1.43,0,0,54.9239
7450000,1.42,0,0,54.3491
7500000,1.41,0,0,53.7713
7550000,1.4,0,0,53.1903
7600000,1.39,0,0,52.6063
7650000,1.38,0,0,52.0191
7700000,1.37,0,0,51.4287
7750000,1.36,0,0,50.835
7800000,1.35,0,0,50.2381
7850000,1.34,0,0,49.6378
7900000,1.33,0,0,49.0342
7950000,1.32,0,0,48.4272
8000000,1.31,0,0,47.8167
8050000,1.3,0,0,47.2026
8100000,1.29,0,0,46.5851
8150000,1.28,0,0,45.9639
8200000,1.27,0,0,45.3391
8250000,1.26,0,0,44.7106
