t,L,a_w,a_b,min_lat_w,mean_lat_w,max_lat_w,min_lat_b,mean_lat_b,max_lat_b,temp
0,0.5,0.33,0.33,0,44.500011,89,0,44.500011,89,-17.7423
50000,0.5,0,0,,,,,,,-17.7423
100000,0.51,0,0,,,,,,,-16.4754
150000,0.52,0,0,,,,,,,-15.2271
200000,0.53,0,0,,,,,,,-13.9967
250000,0.54,0,0,,,,,,,-12.7835
300000,0.55,0,0,,,,,,,-11.5871
350000,0.56,0,0,,,,,,,-10.4068
400000,0.57,0,0,,,,,,,-9.24231
450000,0.58,0,0,,,,,,,-8.09301
500000,0.59,0,0,,,,,,,-6.95849
550000,0.6,0,0,,,,,,,-5.83829
600000,0.61,0,0,,,,,,,-4.732
650000,0.62,0,0.00637844,,,,85,87.740379,89,-3.33555
700000,0.63,0,0.187221,,,,62,75.986328,89,5.33604
750000,0.64,0,0.679578,,,,0,45.098259,89,19.2127
800000,0.65,0,0.682915,,,,0,44.671608,89,20.3625
850000,0.66,0,0.682761,,,,0,44.290466,89,21.4114
900000,0.67,0.0119253,0.670266,86,88.397308,89,0,43.392693,89,21.5447
950000,0.68,0.0256425,0.656305,84,87.652458,89,0,42.425396,87,21.535
1000000,0.69,0.038589,0.643131,81,86.751350,89,0,41.514027,85,21.5704
1050000,0.7,0.0523315,0.629305,80,85.827049,89,0,40.572678,83,21.533
1100000,0.71,0.0650001,0.616562,78,84.973190,89,0,39.700134,81,21.5639
1150000,0.72,0.0783498,0.603217,76,84.067329,89,0,38.799400,80,21.5299
1200000,0.73,0.0907684,0.590833,75,83.238708,89,0,37.959969,78,21.5547
1250000,0.74,0.103514,0.578165,73,82.386253,89,0,37.108650,76,21.5412
1300000,0.75,0.115856,0.565934,71,81.568619,89,0,36.287666,75,21.5467
1350000,0.76,0.127979,0.553955,70,80.770317,89,0,35.485847,73,21.557
1400000,0.77,0.140063,0.542038,68,79.976868,89,0,34.691002,71,21.5581
1450000,0.78,0.151897,0.530394,66,79.202179,89,0,33.916737,70,21.5672
1500000,0.79,0.163588,0.518916,65,78.442574,89,0,33.154575,68,21.5758
1550000,0.8,0.175137,0.507594,63,77.691681,89,0,32.405609,67,21.5845
1600000,0.81,0.186526,0.49645,62,76.956474,89,0,31.669025,65,21.5945
1650000,0.82,0.19776,0.485472,60,76.231216,89,0,30.945873,64,21.6062
1700000,0.83,0.208873,0.474627,59,75.517578,89,0,30.231890,63,21.6167
1750000,0.84,0.219693,0.464096,58,74.825745,89,0,29.540785,61,21.6408
1800000,0.85,0.230719,0.453335,56,74.116570,89,0,28.834934,60,21.6374
1850000,0.86,0.241089,0.443294,55,73.461800,89,0,28.177908,58,21.6782
1900000,0.87,0.25189,0.432762,53,72.767334,89,0,27.489794,57,21.6733
1950000,0.88,0.2623,0.422658,52,72.107018,89,0,26.829697,56,21.6911
2000000,0.89,0.272375,0.412922,51,71.472519,89,0,26.195797,54,21.7277
2050000,0.9,0.282741,0.40284,49,70.810760,89,0,25.539543,53,21.7308
2100000,0.91,0.292842,0.393048,48,70.171684,89,0,24.902067,52,21.7469
2150000,0.92,0.302596,0.383639,47,69.560028,89,0,24.291365,50,21.7836
2200000,0.93,0.312477,0.374068,46,68.934883,89,0,23.670660,49,21.8013
2250000,0.94,0.322314,0.364531,44,68.312325,89,0,23.052017,48,21.8144
2300000,0.95,0.331875,0.355299,43,67.712029,89,0,22.453911,47,21.8427
2350000,0.96,0.34135,0.346149,42,67.117081,89,0,21.861824,46,21.8705
2400000,0.97,0.350803,0.337007,41,66.521980,89,0,21.270544,44,21.8927
2450000,0.98,0.360074,0.328062,40,65.940819,89,0,20.692738,43,21.9231
2500000,0.99,0.369278,0.319177,38,65.363312,89,0,20.119301,42,21.952
2550000,1,0.378489,0.310268,37,64.783829,89,0,19.543840,41,21.9736
2600000,1.01,0.387591,0.30147,36,64.212044,89,0,18.975798,40,21.9977
2650000,1.02,0.396573,0.292796,35,63.648827,89,0,18.416090,39,22.0255
2700000,1.03,0.405408,0.284277,34,63.096210,89,0,17.867039,38,22.0595
2750000,1.04,0.414158,0.27584,33,62.548874,89,0,17.323717,36,22.0945
2800000,1.05,0.422864,0.267439,32,62.003613,89,0,16.782898,35,22.1276
2850000,1.06,0.431521,0.259081,30,61.460888,89,0,16.244936,34,22.1594
2900000,1.07,0.440097,0.250801,29,60.923431,89,0,15.712100,33,22.1925
2950000,1.08,0.448624,0.242563,28,60.388550,89,0,15.182006,32,22.2246
3000000,1.09,0.45713,0.234336,27,59.854092,89,0,14.652334,31,22.2535
3050000,1.1,0.465572,0.226169,26,59.323685,89,0,14.126534,30,22.2832
3100000,1.11,0.473903,0.218118,25,58.800934,89,0,13.608395,29,22.3174
3150000,1.12,0.482162,0.210136,24,58.282646,89,0,13.094876,28,22.3532
3200000,1.13,0.49038,0.202188,23,57.766411,89,0,12.583537,27,22.3882
3250000,1.14,0.498548,0.194285,22,57.252975,89,0,12.075004,26,22.4234
3300000,1.15,0.506645,0.186451,21,56.743988,89,0,11.570960,25,22.4605
3350000,1.16,0.514681,0.178677,20,56.238693,89,0,11.070827,24,22.4991
3400000,1.17,0.522673,0.17094,19,55.735695,89,0,10.573105,23,22.5378
3450000,1.18,0.530623,0.163239,18,55.234825,89,0,10.077634,22,22.5766
3500000,1.19,0.538523,0.155585,17,54.736797,89,0,9.585083,21,22.6165
3550000,1.2,0.546374,0.147977,16,54.241558,89,0,9.095513,20,22.6574
3600000,1.21,0.554183,0.140405,15,53.748447,89,0,8.608230,19,22.699
3650000,1.22,0.561955,0.132865,14,53.257195,89,0,8.122968,18,22.741
3700000,1.23,0.569687,0.12536,13,52.767925,89,0,7.639828,17,22.7838
3750000,1.24,0.57738,0.117889,12,52.280689,89,0,7.158897,16,22.8276
3800000,1.25,0.585036,0.110451,11,51.795227,89,0,6.679942,15,22.8722
3850000,1.26,0.592661,0.103039,10,51.311184,89,0,6.202621,14,22.9175
3900000,1.27,0.600257,0.0956507,9,50.828388,89,0,5.726759,13,22.9635
3950000,1.28,0.607824,0.0882856,8,50.346786,89,0,5.252318,12,23.0101
4000000,1.29,0.615366,0.0809395,7,49.866093,89,0,4.779075,11,23.0574
4050000,1.3,0.622888,0.0736075,6,49.385963,89,0,4.306771,10,23.1051
4100000,1.31,0.630395,0.0662855,5,48.906147,89,0,3.835237,9,23.1532
4150000,1.32,0.637887,0.0589711,4,48.426437,89,0,3.364509,8,23.2016
4200000,1.33,0.645352,0.0516791,4,47.947815,89,0,2.895262,8,23.2515
4250000,1.34,0.652816,0.0443819,3,47.468456,89,0,2.426718,7,23.3012
4300000,1.35,0.66024,0.0371194,2,46.990883,89,0,1.960739,6,23.3536
4350000,1.36,0.667433,0.0300977,1,46.527576,89,0,1.510334,5,23.4219
4400000,1.37,0.67491,0.0227645,0,46.044254,89,0,1.060587,4,23.4712
4450000,1.38,0.682481,0.0153247,0,45.554501,89,0,0.611278,3,23.5143
4500000,1.39,0.689848,0.00809603,0,45.077190,89,0,0.212277,2,23.5719
4550000,1.4,0.696429,0.00168207,0,44.648254,89,0,0.032946,1,23.6824
4600000,1.41,0.698274,1.76349e-05,0,44.498623,89,0,0.000000,0,24.1086
4650000,1.42,0.69794,0,0,44.442558,89,,,,24.674
4700000,1.43,0.696857,0,0,44.382805,89,,,,25.2816
4750000,1.44,0.694841,0,0,44.315754,89,,,,25.9427
4800000,1.45,0.691552,0,0,44.237068,89,,,,26.6783
4850000,1.46,0.686308,0,0,44.137718,89,,,,27.5303
4900000,1.47,0.67729,0,0,43.992981,89,,,,28.6099
4950000,1.48,0,0,,,,,,,61.8126
5000000,1.49,0,0,,,,,,,62.3768
5050000,1.5,0,0,,,,,,,62.9381
5100000,1.51,0,0,,,,,,,63.4966
5150000,1.52,0,0,,,,,,,64.0523
5200000,1.53,0,0,,,,,,,64.6053
5250000,1.54,0,0,,,,,,,65.1556
5300000,1.55,0,0,,,,,,,65.7032
5350000,1.56,0,0,,,,,,,66.2482
5400000,1.57,0,0,,,,,,,66.7906
5450000,1.58,0,0,,,,,,,67.3303
5500000,1.59,0,0,,,,,,,67.8676
5550000,1.6,0,0,,,,,,,68.4023
5600000,1.61,0,0,,,,,,,68.9345
5650000,1.62,0,0,,,,,,,69.4642
5700000,1.63,0,0,,,,,,,69.9915
5750000,1.64,0,0,,,,,,,70.5163
5800000,1.65,0,0,,,,,,,71.0388
5850000,1.66,0,0,,,,,,,71.5589
5900000,1.67,0,0,,,,,,,72.0766
5950000,1.68,0,0,,,,,,,72.592
6000000,1.69,0,0,,,,,,,73.1052
6050000,1.7,0,0,,,,,,,73.616
6100000,1.69,0,0,,,,,,,73.1052
6150000,1.68,0,0,,,,,,,72.592
6200000,1.67,0,0,,,,,,,72.0766
6250000,1.66,0,0,,,,,,,71.5589
6300000,1.65,0,0,,,,,,,71.0388
6350000,1.64,0,0,,,,,,,70.5163
6400000,1.63,0,0,,,,,,,69.9915
6450000,1.62,0,0,,,,,,,69.4642
6500000,1.61,0,0,,,,,,,68.9345
6550000,1.6,0,0,,,,,,,68.4023
6600000,1.59,0,0,,,,,,,67.8676
6650000,1.58,0,0,,,,,,,67.3303
6700000,1.57,0,0,,,,,,,66.7906
6750000,1.56,0,0,,,,,,,66.2482
6800000,1.55,0,0,,,,,,,65.7032
6850000,1.54,0,0,,,,,,,65.1556
6900000,1.53,0,0,,,,,,,64.6053
6950000,1.52,0,0,,,,,,,64.0523
7000000,1.51,0,0,,,,,,,63.4966
7050000,1.5,0,0,,,,,,,62.9381
7100000,1.49,0,0,,,,,,,62.3768
7150000,1.48,0,0,,,,,,,61.8126
7200000,1.47,0,0,,,,,,,61.2456
7250000,1.46,0,0,,,,,,,60.6757
7300000,1.45,0,0,,,,,,,60.1029
7350000,1.44,0,0,,,,,,,59.5271
7400000,1.43,0,0,,,,,,,58.9483
7450000,1.42,0,0,,,,,,,58.3664
7500000,1.41,0,0,,,,,,,57.7815
7550000,1.4,0,0,,,,,,,57.1934
7600000,1.39,0,0,,,,,,,56.6022
7650000,1.38,0,0,,,,,,,56.0078
7700000,1.37,0,0,,,,,,,55.4101
7750000,1.36,0,0,,,,,,,54.8092
7800000,1.35,0,0,,,,,,,54.2049
7850000,1.34,0,0,,,,,,,53.5973
7900000,1.33,0,0,,,,,,,52.9863
7950000,1.32,0,0,,,,,,,52.3718
8000000,1.31,0,0,,,,,,,51.7538
8050000,1.3,0,0,,,,,,,51.1323
8100000,1.29,0,0,,,,,,,50.5071
8150000,1.28,0,0,,,,,,,49.8783
8200000,1.27,0,0,,,,,,,49.2459
8250000,1.26,0,0,,,,,,,48.6096
8300000,1.25,0,0,,,,,,,47.9696
8350000,1.24,0,0,,,,,,,47.3257
8400000,1.23,0,0,,,,,,,46.678
8450000,1.22,0,0,,,,,,,46.0262
8500000,1.21,0,0,,,,,,,45.3704
8550000,1.2,0,0,,,,,,,44.7106
8600000,1.19,0.110132,0,0,10.562650,22,,,,41.0668
8650000,1.18,0.533496,0.159846,0,54.850964,89,0,10.437167,34,22.4352
8700000,1.17,0.524706,0.168576,16,55.566498,89,0,10.451137,26,22.3843
8750000,1.16,0.517023,0.175945,20,56.053661,89,0,10.890757,25,22.3155
