t,L,a_w,a_b,min_lat_w,mean_lat_w,max_lat_w,min_lat_b,mean_lat_b,max_lat_b,temp
0,0.5,0.33,0,0.000000,44.499985,89.000000,,,,-28.994
5000,0.5,0,0,,,,,,,-17.7423
10000,0.51,0,0,,,,,,,-16.4754
15000,0.52,0,0,,,,,,,-15.2271
20000,0.53,0,0,,,,,,,-13.9967
25000,0.54,0,0,,,,,,,-12.7835
30000,0.55,0,0,,,,,,,-11.5871
35000,0.56,0,0,,,,,,,-10.4068
40000,0.57,0,0,,,,,,,-9.24231
45000,0.58,0,0,,,,,,,-8.09301
50000,0.59,0,0,,,,,,,-6.95849
55000,0.6,0,0,,,,,,,-5.83829
60000,0.61,0,0,,,,,,,-4.732
65000,0.62,0,0,,,,,,,-3.63924
70000,0.63,0,0,,,,,,,-2.55962
75000,0.64,0,0,,,,,,,-1.49277
80000,0.65,0,0,,,,,,,-0.438352
85000,0.66,0,0,,,,,,,0.60397
90000,0.67,0,0,,,,,,,1.63451
95000,0.68,0,0,,,,,,,2.65358
100000,0.69,0,0,,,,,,,3.66147
105000,0.7,0,0,,,,,,,4.65846
110000,0.71,0,0,,,,,,,5.64483
115000,0.72,0,0,,,,,,,6.62083
120000,0.73,0,0,,,,,,,7.58672
125000,0.74,0,0,,,,,,,8.54274
130000,0.75,0,0,,,,,,,9.48912
135000,0.76,0,0,,,,,,,10.4261
140000,0.77,0.000449561,0,80.000000,86.252312,89.000000,,,,11.3314
145000,0.78,0.0131753,0,67.000000,85.330574,89.000000,,,,11.6158
150000,0.79,0.0296257,0,65.000000,83.063400,89.000000,,,,11.718
155000,0.8,0.0449307,0,61.000000,81.222687,89.000000,,,,11.876
160000,0.81,0.0604226,0,56.000000,79.607224,89.000000,,,,12.0213
165000,0.82,0.0765426,0,52.000000,77.939934,89.000000,,,,12.1363
170000,0.83,0.0930821,0,48.000000,76.265800,89.000000,,,,12.2317
175000,0.84,0.10971,0,45.000000,74.688095,89.000000,,,,12.3206
