t,L,a_w,a_b,l_w,l_b,temp
0,0.5,0,0,nan,nan,-17.7423
5000,0.5,0,0,nan,nan,-17.7423
10000,0.51,0,0,nan,nan,-16.4755
15000,0.52,0,0,nan,nan,-15.2271
20000,0.53,0,0,nan,nan,-13.9967
25000,0.54,0,0,nan,nan,-12.7835
30000,0.55,0,0,nan,nan,-11.5871
35000,0.56,0,0,nan,nan,-10.4068
40000,0.57,0,0,nan,nan,-9.24232
45000,0.58,0,0,nan,nan,-8.09303
50000,0.59,0,0,nan,nan,-6.95849
55000,0.6,0,0,nan,nan,-5.83829
60000,0.61,0,0,nan,nan,-4.73201
65000,0.62,0,0,nan,nan,-3.63924
70000,0.63,0,0,nan,nan,-2.55962
75000,0.64,0,0,nan,nan,-1.49278
80000,0.65,0,0,nan,nan,-0.438358
85000,0.66,0,0,nan,nan,0.603963
90000,0.67,0,0,nan,nan,1.6345
95000,0.68,0,0,nan,nan,2.65357
100000,0.69,0,0,nan,nan,3.66146
105000,0.7,0,0,nan,nan,4.65846
110000,0.71,0,0,nan,nan,5.64483
115000,0.72,0,0,nan,nan,6.62082
120000,0.73,0,0,nan,nan,7.58671
125000,0.74,0,0,nan,nan,8.54273
130000,0.75,0,0,nan,nan,9.48911
135000,0.76,0,0,nan,nan,10.4261
140000,0.77,0,0,nan,nan,11.3538
145000,0.78,0,0,nan,nan,12.2726
150000,0.79,0,0,nan,nan,13.1826
155000,0.8,0,0,nan,nan,14.0839
160000,0.81,0,0,nan,nan,14.9769
165000,0.82,0,0,nan,nan,15.8616
170000,0.83,0,0,nan,nan,16.7383
175000,0.84,0,0,nan,nan,17.6071
180000,0.85,0,0,nan,nan,18.4682
185000,0.86,0,0,nan,nan,19.3217
190000,0.87,0,0,nan,nan,20.1678
195000,0.88,0,0,nan,nan,21.0066
200000,0.89,0,0,nan,nan,21.8383
205000,0.9,0,0,nan,nan,22.663
210000,0.91,0,0,nan,nan,23.4809
215000,0.92,0,0,nan,nan,24.2921
220000,0.93,0,0,nan,nan,25.0967
225000,0.94,0,0,nan,nan,25.8948
230000,0.95,0,0,nan,nan,26.6866
235000,0.96,0,0,nan,nan,27.4721
240000,0.97,0,0,nan,nan,28.2516
245000,0.98,0,0,nan,nan,29.025
250000,0.99,0,0,nan,nan,29.7925
255000,1,0,0,nan,nan,30.5543
260000,1.01,0,0,nan,nan,31.3104
265000,1.02,0,0,nan,nan,32.0608
270000,1.03,0,0,nan,nan,32.8058
275000,1.04,0,0,nan,nan,33.5453
280000,1.05,0,0,nan,nan,34.2796
285000,1.06,0,0,nan,nan,35.0086
290000,1.07,0,0,nan,nan,35.7325
295000,1.08,0,0,nan,nan,36.4513
300000,1.09,0,0,nan,nan,37.1652
305000,1.1,0,0,nan,nan,37.8741
310000,1.11,0,0,nan,nan,38.5783
315000,1.12,0,0,nan,nan,39.2777
320000,1.13,0,0,nan,nan,39.9724
325000,1.14,0,0,nan,nan,40.6625
330000,1.15,0,0,nan,nan,41.3481
335000,1.16,0,0,nan,nan,42.0293
340000,1.17,0,0,nan,nan,42.706
345000,1.18,0,0,nan,nan,43.3785
350000,1.19,0,0,nan,nan,44.0466
355000,1.2,0,0,nan,nan,44.7106
360000,1.21,0,0,nan,nan,45.3704
365000,1.22,0,0,nan,nan,46.0262
370000,1.23,0,0,nan,nan,46.6779
375000,1.24,0,0,nan,nan,47.3257
380000,1.25,0,0,nan,nan,47.9696
385000,1.26,0,0,nan,nan,48.6096
390000,1.27,0,0,nan,nan,49.2458
395000,1.28,0,0,nan,nan,49.8783
400000,1.29,0,0,nan,nan,50.5071
405000,1.3,0,0,nan,nan,51.1322
410000,1.31,0,0,nan,nan,51.7538
415000,1.32,0,0,nan,nan,52.3718
420000,1.33,0,0,nan,nan,52.9863
425000,1.34,0,0,nan,nan,53.5973
430000,1.35,0,0,nan,nan,54.2049
435000,1.36,0,0,nan,nan,54.8092
440000,1.37,0,0,nan,nan,55.4101
445000,1.38,0,0,nan,nan,56.0078
450000,1.39,0,0,nan,nan,56.6022
455000,1.4,0,0,nan,nan,57.1934
460000,1.41,0,0,nan,nan,57.7815
465000,1.42,0,0,nan,nan,58.3664
470000,1.43,0,0,nan,nan,58.9483
475000,1.44,0,0,nan,nan,59.5271
480000,1.45,0,0,nan,nan,60.1029
485000,1.46,0,0,nan,nan,60.6757
490000,1.47,0,0,nan,nan,61.2456
495000,1.48,0,0,nan,nan,61.8126
500000,1.49,0,0,nan,nan,62.3768
505000,1.5,0,0,nan,nan,62.9381
510000,1.51,0,0,nan,nan,63.4966
515000,1.52,0,0,nan,nan,64.0523
520000,1.53,0,0,nan,nan,64.6053
525000,1.54,0,0,nan,nan,65.1556
530000,1.55,0,0,nan,nan,65.7032
535000,1.56,0,0,nan,nan,66.2482
540000,1.57,0,0,nan,nan,66.7906
