t,L,a_w,a_b,temp
0,0.5,0.5,0,-38.3358
5000,0.5,0,0,-20.8369
10000,0.51,0,0,-19.5854
15000,0.52,0,0,-18.3522
20000,0.53,0,0,-17.1367
25000,0.54,0,0,-15.9382
30000,0.55,0,0,-14.7563
35000,0.56,0,0,-13.5904
40000,0.57,0,0,-12.44
45000,0.58,0,0,-11.3046
50000,0.59,0,0,-10.1838
55000,0.6,0,0,-9.07722
60000,0.61,0,0,-7.98435
65000,0.62,0,0,-6.90483
70000,0.63,0,0,-5.83829
75000,0.64,0,0,-4.78438
80000,0.65,0,0,-3.74274
85000,0.66,0,0,-2.71306
90000,0.67,0,0,-1.69501
95000,0.68,0,0,-0.688303
100000,0.69,0,0,0.307369
105000,0.7,0,0,1.29228
110000,0.71,0,0,2.26669
115000,0.72,0,0,3.23086
120000,0.73,0,0,4.18504
125000,0.74,0,0,5.12947
130000,0.75,0,0,6.06437
135000,0.76,0,0,6.98997
140000,0.77,0,0,7.90648
145000,0.78,0,0,8.8141
150000,0.79,0,0,9.71304
155000,0.8,0,0,10.6035
160000,0.81,0,0,11.4856
165000,0.82,0.00201878,0,12.2876
170000,0.83,0.0106607,0,12.8435
175000,0.84,0.0353616,0,12.8065
180000,0.85,0.0597395,0,12.7599
185000,0.86,0.0831178,0,12.7295
190000,0.87,0.105804,0,12.7049
195000,0.88,0.127823,0,12.686
200000,0.89,0.149201,0,12.6728
205000,0.9,0.169959,0,12.6652
210000,0.91,0.190119,0,12.6633
215000,0.92,0.209699,0,12.667
220000,0.93,0.228719,0,12.6763
225000,0.94,0.247197,0,12.6912
230000,0.95,0.265148,0,12.7117
235000,0.96,0.28259,0,12.7379
240000,0.97,0.299538,0,12.7697
245000,0.98,0.316005,0,12.8073
250000,0.99,0.332006,0,12.8505
255000,1,0.347552,0,12.8996
260000,1.01,0.362656,0,12.9545
265000,1.02,0.37733,0,13.0152
270000,1.03,0.391585,0,13.0819
275000,1.04,0.40543,0,13.1546
280000,1.05,0.418877,0,13.2334
285000,1.06,0.431934,0,13.3183
