t,L,a_w,a_b,a_g,temp
0,0.5,0.33,0.33,0.33,-20.8369
50000,0.5,0,0,0,-20.8369
100000,0.51,0,0,0,-19.5854
150000,0.52,0,0,0,-18.3522
200000,0.53,0,0,0,-17.1367
250000,0.54,0,0,0,-15.9382
300000,0.55,0,0,0,-14.7563
350000,0.56,0,0,0,-13.5904
400000,0.57,0,0,0,-12.44
450000,0.58,0,0,0,-11.3046
500000,0.59,0,0,0,-10.1838
550000,0.6,0,0,0,-9.07722
600000,0.61,0,0,0,-7.98435
650000,0.62,0,0,0,-6.90483
700000,0.63,0,0,0,-5.83829
750000,0.64,0,0,0,-4.78438
800000,0.65,0,0,0,-3.74274
850000,0.66,0,0,0,-2.71306
900000,0.67,0,0,0,-1.69501
950000,0.68,0,0,0,-0.688303
1000000,0.69,0,0,0,0.307369
1050000,0.7,0,0,0,1.29228
1100000,0.71,0,0,0,2.26669
1150000,0.72,0,0.657201,0.0351696,23.5656
1200000,0.73,0,0.601169,0.0925726,23.0087
1250000,0.74,0,0.558582,0.135168,22.794
1300000,0.75,0,0.517452,0.1763,22.5882
1350000,0.76,0,0.477628,0.216122,22.3888
1400000,0.77,0,0.439085,0.254665,22.1963
1450000,0.78,0,0.401724,0.292026,22.0095
1500000,0.79,0,0.365504,0.328246,21.8284
1550000,0.8,0,0.330374,0.363377,21.6527
1600000,0.81,0,0.296283,0.397468,21.4823
1650000,0.82,0,0.263187,0.430565,21.3168
1700000,0.83,0,0.231029,0.462722,21.1558
1750000,0.84,0,0.199792,0.493959,20.9996
1800000,0.85,0,0.169436,0.524314,20.8482
1850000,0.86,0,0.139905,0.553845,20.7006
1900000,0.87,0,0.111165,0.582584,20.5567
1950000,0.88,0,0.0832049,0.610546,20.417
2000000,0.89,0,0.0560311,0.637728,20.2827
2050000,0.9,0,0.0298187,0.663989,20.1612
2100000,0.91,0,0.00756621,0.686793,20.1632
2150000,0.92,0,0.00139839,0.695496,20.7392
2200000,0.93,0,0,0.698979,21.4827
2250000,0.94,0,0,0.699944,22.2712
2300000,0.95,0,0,0.699696,23.0533
2350000,0.96,0,0,0.698255,23.8294
2400000,0.97,0.00257459,0,0.693376,24.5035
2450000,0.98,0.0113635,0,0.682405,24.9387
2500000,0.99,0.0342562,0,0.65948,24.8325
2550000,1,0.0570357,0,0.63672,24.713
2600000,1.01,0.0790999,0,0.614651,24.6036
2650000,1.02,0.100688,0,0.593062,24.4957
2700000,1.03,0.121794,0,0.571955,24.3902
