t,L,a_w,a_b,a_g,min_lat_w,mean_lat_w,max_lat_w,min_lat_b,mean_lat_b,max_lat_b,min_lat_g,mean_lat_g,max_lat_g,temp
0,0.5,0.33,0.33,0,0.000000,44.499985,89.000000,0.000000,44.499985,89.000000,,,,-17.7423
50000,0.5,0,0,0,,,,,,,,,,-17.7423
100000,0.51,0,0,0,,,,,,,,,,-16.4754
150000,0.52,0,0,0,,,,,,,,,,-15.2271
200000,0.53,0,0,0,,,,,,,,,,-13.9967
250000,0.54,0,0,0,,,,,,,,,,-12.7835
300000,0.55,0,0,0,,,,,,,,,,-11.5871
350000,0.56,0,0,0,,,,,,,,,,-10.4068
400000,0.57,0,0,0,,,,,,,,,,-9.24231
450000,0.58,0,0,0,,,,,,,,,,-8.09301
500000,0.59,0,0,0,,,,,,,,,,-6.95849
550000,0.6,0,0,0,,,,,,,,,,-5.83829
600000,0.61,0,0,0,,,,,,,,,,-4.732
650000,0.62,0,0.00637843,0,,,,85.000000,87.740387,89.000000,,,,-3.33555
700000,0.63,0,0.187221,0,,,,62.000000,75.986320,89.000000,,,,5.33604
750000,0.64,0,0.679578,0,,,,0.000000,45.098251,89.000000,,,,19.2127
800000,0.65,0,0.627195,0.0506247,,,,0.000000,42.038559,89.000000,77.000000,85.955406,89.000000,18.383
850000,0.66,0,0.606556,0.0742581,,,,0.000000,40.361465,83.000000,77.000000,84.624916,89.000000,18.6554
900000,0.67,0,0.590168,0.0939329,,,,0.000000,38.945084,79.000000,74.000000,83.394516,89.000000,19.0774
950000,0.68,0,0.570865,0.115668,,,,0.000000,37.447147,76.000000,70.000000,81.984657,89.000000,19.399
1000000,0.69,0,0.547364,0.140851,,,,0.000000,35.761127,74.000000,68.000000,80.389076,89.000000,19.5718
1050000,0.7,0,0.524492,0.165291,,,,0.000000,34.133709,71.000000,65.000000,78.820885,89.000000,19.7664
1100000,0.71,0,0.505212,0.186269,,,,0.000000,32.722530,67.000000,61.000000,77.486740,89.000000,20.0841
1150000,0.72,0,0.483167,0.209572,,,,0.000000,31.182850,65.000000,59.000000,75.993980,89.000000,20.3051
1200000,0.73,0,0.461753,0.232114,,,,0.000000,29.696020,62.000000,56.000000,74.550011,89.000000,20.547
1250000,0.74,0,0.440252,0.254567,,,,0.000000,28.221132,59.000000,53.000000,73.106888,89.000000,20.7854
1300000,0.75,0,0.418768,0.276843,,,,0.000000,26.761190,56.000000,50.000000,71.672073,89.000000,21.0241
1350000,0.76,0,0.397453,0.298797,,,,0.000000,25.324167,53.000000,47.000000,70.253090,89.000000,21.2685
1400000,0.77,0,0.376217,0.320518,,,,0.000000,23.903341,51.000000,44.000000,68.843613,89.000000,21.5158
1450000,0.78,0,0.355133,0.341933,,,,0.000000,22.501377,48.000000,41.000000,67.447990,89.000000,21.7686
1500000,0.79,0,0.335249,0.361974,,,,0.000000,21.180676,45.000000,38.000000,66.133438,89.000000,22.0603
1550000,0.8,0,0.313499,0.383748,,,,0.000000,19.755178,42.000000,36.000000,64.698837,89.000000,22.294
1600000,0.81,0,0.292211,0.404899,,,,0.000000,18.364262,40.000000,33.000000,63.295067,89.000000,22.5445
1650000,0.82,3.08799e-05,0.271495,0.425265,88.000000,,89.000000,0.000000,17.016691,37.000000,30.000000,61.924866,89.000000,22.8133
1700000,0.83,0.0025516,0.252048,0.441844,84.000000,88.172920,89.000000,0.000000,15.752581,35.000000,27.000000,60.489128,89.000000,23.0021
1750000,0.84,0.0187987,0.239318,0.438628,82.000000,87.919518,89.000000,0.000000,14.935268,33.000000,26.000000,58.628265,89.000000,22.7203
1800000,0.85,0.031134,0.229576,0.435972,82.000000,87.352715,89.000000,0.000000,14.298542,31.000000,26.000000,57.190632,88.000000,22.7038
1850000,0.86,0.0412808,0.221602,0.433609,81.000000,86.750778,89.000000,0.000000,13.778481,30.000000,26.000000,56.007950,86.000000,22.8371
1900000,0.87,0.0539719,0.212579,0.429928,78.000000,85.917206,89.000000,0.000000,13.195932,28.000000,25.000000,54.604355,84.000000,22.8067
1950000,0.88,0.066936,0.205058,0.424462,77.000000,85.086067,89.000000,0.000000,12.707747,28.000000,24.000000,53.280121,83.000000,22.7973
2000000,0.89,0.0802397,0.198936,0.417255,76.000000,84.224602,89.000000,0.000000,12.311891,26.000000,23.000000,52.025959,81.000000,22.8039
2050000,0.9,0.0927168,0.192066,0.411634,74.000000,83.437378,89.000000,0.000000,11.869745,25.000000,22.000000,50.773087,80.000000,22.8189
2100000,0.91,0.104187,0.184481,0.407735,72.000000,82.699944,89.000000,0.000000,11.381759,25.000000,21.000000,49.543621,78.000000,22.8534
2150000,0.92,0.116553,0.176924,0.402954,71.000000,81.895966,89.000000,0.000000,10.895298,24.000000,20.000000,48.260754,76.000000,22.8371
2200000,0.93,0.12871,0.169726,0.398023,69.000000,81.116501,89.000000,0.000000,10.432045,23.000000,19.000000,47.012859,75.000000,22.833
2250000,0.94,0.140171,0.162668,0.393645,68.000000,80.387573,89.000000,0.000000,9.977840,22.000000,18.000000,45.819172,73.000000,22.8587
2300000,0.95,0.151318,0.155463,0.389736,66.000000,79.668732,89.000000,0.000000,9.514955,21.000000,17.000000,44.640522,72.000000,22.8881
2350000,0.96,0.163287,0.148522,0.38476,65.000000,78.901306,89.000000,0.000000,9.068567,20.000000,17.000000,43.423233,70.000000,22.8779
2400000,0.97,0.174547,0.141874,0.380196,64.000000,78.178642,89.000000,0.000000,8.639359,19.000000,16.000000,42.274483,69.000000,22.9035
2450000,0.98,0.186258,0.136333,0.37408,62.000000,77.432640,89.000000,0.000000,8.284439,18.000000,15.000000,41.165573,67.000000,22.9329
2500000,0.99,0.197008,0.129672,0.370049,60.000000,76.744781,89.000000,0.000000,7.858654,17.000000,14.000000,40.048767,66.000000,22.9692
2550000,1,0.208477,0.122625,0.365696,59.000000,76.003571,89.000000,0.000000,7.407519,17.000000,13.000000,38.860558,64.000000,22.9538
2600000,1.01,0.21969,0.115881,0.361302,58.000000,75.286873,89.000000,0.000000,6.974695,16.000000,12.000000,37.706219,63.000000,22.9527
2650000,1.02,0.230491,0.109335,0.357121,57.000000,74.598717,89.000000,0.000000,6.554347,15.000000,12.000000,36.592140,62.000000,22.9711
2700000,1.03,0.240309,0.102699,0.354018,55.000000,73.975426,89.000000,0.000000,6.129287,14.000000,11.000000,35.538383,60.000000,23.0281
2750000,1.04,0.250621,0.0962047,0.35028,54.000000,73.315308,89.000000,0.000000,5.710845,13.000000,10.000000,34.463467,59.000000,23.0605
2800000,1.05,0.261987,0.0908441,0.344355,52.000000,72.583992,89.000000,0.000000,5.366818,12.000000,9.000000,33.393738,58.000000,23.0707
2850000,1.06,0.272903,0.0846161,0.339752,51.000000,71.888084,89.000000,0.000000,4.972128,12.000000,8.000000,32.289959,56.000000,23.0715
2900000,1.07,0.282742,0.0779624,0.336654,50.000000,71.258987,89.000000,0.000000,4.546766,11.000000,7.000000,31.234701,55.000000,23.1064
2950000,1.08,0.29342,0.0716635,0.332361,48.000000,70.575989,89.000000,0.000000,4.142846,10.000000,7.000000,30.144581,54.000000,23.1071
3000000,1.09,0.302954,0.0655179,0.329064,47.000000,69.969521,89.000000,0.000000,3.747425,9.000000,6.000000,29.141497,53.000000,23.1613
3050000,1.1,0.31311,0.0600555,0.32446,46.000000,69.319099,89.000000,0.000000,3.396694,9.000000,5.000000,28.144077,51.000000,23.2021
3100000,1.11,0.324161,0.054215,0.319334,44.000000,68.609894,89.000000,0.000000,3.027363,8.000000,4.000000,27.058401,50.000000,23.1862
3150000,1.12,0.333695,0.0481271,0.315982,44.000000,68.003441,89.000000,0.000000,2.642491,7.000000,4.000000,26.055643,49.000000,23.2296
3200000,1.13,0.343134,0.0419521,0.31281,42.000000,67.399773,89.000000,0.000000,2.245198,6.000000,3.000000,25.057102,47.000000,23.2713
3250000,1.14,0.353476,0.0368266,0.307682,41.000000,66.738235,89.000000,0.000000,1.916615,6.000000,2.000000,24.065479,46.000000,23.2974
3300000,1.15,0.362607,0.0308468,0.304622,39.000000,66.153328,89.000000,0.000000,1.548497,5.000000,1.000000,23.098866,45.000000,23.3522
3350000,1.16,0.373177,0.0248155,0.300167,38.000000,65.475220,89.000000,0.000000,1.178637,4.000000,1.000000,22.030352,43.000000,23.336
3400000,1.17,0.38253,0.0188749,0.296844,37.000000,64.876045,89.000000,0.000000,0.807814,3.000000,0.000000,21.050896,42.000000,23.3751
3450000,1.18,0.392834,0.0139435,0.291555,36.000000,64.215286,89.000000,0.000000,0.500536,3.000000,0.000000,20.073820,41.000000,23.3962
3500000,1.19,0.401991,0.00857318,0.287856,35.000000,63.630638,89.000000,0.000000,0.223036,2.000000,0.000000,19.139854,40.000000,23.4542
3550000,1.2,0.411273,0.00336437,0.283868,33.000000,63.035404,89.000000,0.000000,0.050916,1.000000,0.000000,18.211287,38.000000,23.5086
3600000,1.21,0.421151,0.000392237,0.277037,31.000000,62.400982,89.000000,0.000000,0.000000,0.000000,0.000000,17.392393,37.000000,23.5959
3650000,1.22,0.432797,2.02525e-05,0.265821,29.000000,61.649387,89.000000,0.000000,,0.000000,0.000000,16.628471,36.000000,23.676
3700000,1.23,0.445342,0,0.253349,28.000000,60.842964,89.000000,,,,0.000000,15.821951,35.000000,23.7255
3750000,1.24,0.457542,0,0.241188,26.000000,60.055481,89.000000,,,,0.000000,15.043369,33.000000,23.792
3800000,1.25,0.469937,0,0.228825,25.000000,59.256916,89.000000,,,,0.000000,14.247558,32.000000,23.8506
3850000,1.26,0.481816,0,0.216959,24.000000,58.491150,89.000000,,,,0.000000,13.482538,30.000000,23.9323
3900000,1.27,0.493026,0,0.205719,22.000000,57.764652,89.000000,,,,0.000000,12.762031,28.000000,24.0441
3950000,1.28,0.505258,0,0.193486,20.000000,56.970623,89.000000,,,,0.000000,11.981172,27.000000,24.1141
4000000,1.29,0.517401,0,0.181317,18.000000,56.183090,89.000000,,,,0.000000,11.199094,25.000000,24.1891
4050000,1.3,0.529997,0,0.168697,17.000000,55.363949,89.000000,,,,0.000000,10.394206,24.000000,24.2482
4100000,1.31,0.542573,0,0.156085,15.000000,54.546490,89.000000,,,,0.000000,9.585849,22.000000,24.3106
4150000,1.32,0.554893,0,0.143702,14.000000,53.743923,89.000000,,,,0.000000,8.790425,21.000000,24.3863
4200000,1.33,0.566696,0,0.131797,12.000000,52.971859,89.000000,,,,0.000000,8.022725,19.000000,24.4857
4250000,1.34,0.577957,0,0.120378,10.000000,52.227924,89.000000,,,,0.000000,7.294917,18.000000,24.6106
4300000,1.35,0.590541,0,0.107684,8.000000,51.400043,89.000000,,,,0.000000,6.495543,16.000000,24.6868
4350000,1.36,0.603949,0,0.0941958,7.000000,50.523361,89.000000,,,,0.000000,5.636543,15.000000,24.7347
4400000,1.37,0.616656,0,0.0813478,6.000000,49.687553,89.000000,,,,0.000000,4.812140,13.000000,24.8148
4450000,1.38,0.628658,0,0.0691318,4.000000,48.890766,89.000000,,,,0.000000,4.022945,11.000000,24.9269
4500000,1.39,0.639521,0,0.0579279,1.000000,48.154087,89.000000,,,,0.000000,3.311632,10.000000,25.088
4550000,1.4,0.652143,0,0.0450571,0.000000,47.308952,89.000000,,,,0.000000,2.535775,8.000000,25.1888
4600000,1.41,0.665442,0,0.031535,0.000000,46.423748,89.000000,,,,0.000000,1.724152,6.000000,25.2705
4650000,1.42,0.679817,0,0.0169959,0.000000,45.473392,89.000000,,,,0.000000,0.994533,5.000000,25.3212
4700000,1.43,0.691097,0,0.00523427,0.000000,44.698902,89.000000,,,,0.000000,0.317149,3.000000,25.4901
4750000,1.44,0.694503,0,0.00029019,0.000000,44.333149,89.000000,,,,0.000000,0.082038,1.000000,25.9553
4800000,1.45,0.691548,0,0,0.000000,44.237011,89.000000,,,,,,,26.6785
4850000,1.46,0.686303,0,0,0.000000,44.137661,89.000000,,,,,,,27.5306
4900000,1.47,0.677284,0,0,0.000000,43.992973,89.000000,,,,,,,28.6102
4950000,1.48,0,0,0,,,,,,,,,,61.8126
5000000,1.49,0,0,0,,,,,,,,,,62.3768
5050000,1.5,0,0,0,,,,,,,,,,62.9381
5100000,1.51,0,0,0,,,,,,,,,,63.4966
5150000,1.52,0,0,0,,,,,,,,,,64.0523
5200000,1.53,0,0,0,,,,,,,,,,64.6053
5250000,1.54,0,0,0,,,,,,,,,,65.1556
5300000,1.55,0,0,0,,,,,,,,,,65.7032
5350000,1.56,0,0,0,,,,,,,,,,66.2482
5400000,1.57,0,0,0,,,,,,,,,,66.7906
5450000,1.58,0,0,0,,,,,,,,,,67.3303
5500000,1.59,0,0,0,,,,,,,,,,67.8676
5550000,1.6,0,0,0,,,,,,,,,,68.4023
5600000,1.61,0,0,0,,,,,,,,,,68.9345
5650000,1.62,0,0,0,,,,,,,,,,69.4642
5700000,1.63,0,0,0,,,,,,,,,,69.9915
5750000,1.64,0,0,0,,,,,,,,,,70.5163
5800000,1.65,0,0,0,,,,,,,,,,71.0388
5850000,1.66,0,0,0,,,,,,,,,,71.5589
5900000,1.67,0,0,0,,,,,,,,,,72.0766
5950000,1.68,0,0,0,,,,,,,,,,72.592
6000000,1.69,0,0,0,,,,,,,,,,73.1052
6050000,1.7,0,0,0,,,,,,,,,,73.616
6100000,1.69,0,0,0,,,,,,,,,,73.1052
6150000,1.68,0,0,0,,,,,,,,,,72.592
6200000,1.67,0,0,0,,,,,,,,,,72.0766
6250000,1.66,0,0,0,,,,,,,,,,71.5589
6300000,1.65,0,0,0,,,,,,,,,,71.0388
6350000,1.64,0,0,0,,,,,,,,,,70.5163
6400000,1.63,0,0,0,,,,,,,,,,69.9915
6450000,1.62,0,0,0,,,,,,,,,,69.4642
6500000,1.61,0,0,0,,,,,,,,,,68.9345
6550000,1.6,0,0,0,,,,,,,,,,68.4023
6600000,1.59,0,0,0,,,,,,,,,,67.8676
6650000,1.58,0,0,0,,,,,,,,,,67.3303
6700000,1.57,0,0,0,,,,,,,,,,66.7906
6750000,1.56,0,0,0,,,,,,,,,,66.2482
6800000,1.55,0,0,0,,,,,,,,,,65.7032
6850000,1.54,0,0,0,,,,,,,,,,65.1556
6900000,1.53,0,0,0,,,,,,,,,,64.6053
6950000,1.52,0,0,0,,,,,,,,,,64.0523
7000000,1.51,0,0,0,,,,,,,,,,63.4966
7050000,1.5,0,0,0,,,,,,,,,,62.9381
7100000,1.49,0,0,0,,,,,,,,,,62.3768
7150000,1.48,0,0,0,,,,,,,,,,61.8126
7200000,1.47,0,0,0,,,,,,,,,,61.2456
7250000,1.46,0,0,0,,,,,,,,,,60.6757
7300000,1.45,0,0,0,,,,,,,,,,60.1029
7350000,1.44,0,0,0,,,,,,,,,,59.5271
7400000,1.43,0,0,0,,,,,,,,,,58.9483
7450000,1.42,0,0,0,,,,,,,,,,58.3664
7500000,1.41,0,0,0,,,,,,,,,,57.7815
7550000,1.4,0,0,0,,,,,,,,,,57.1934
7600000,1.39,0,0,0,,,,,,,,,,56.6022
7650000,1.38,0,0,0,,,,,,,,,,56.0078
7700000,1.37,0,0,0,,,,,,,,,,55.4101
7750000,1.36,0,0,0,,,,,,,,,,54.8092
7800000,1.35,0,0,0,,,,,,,,,,54.2049
7850000,1.34,0,0,0,,,,,,,,,,53.5973
7900000,1.33,0,0,0,,,,,,,,,,52.9863
7950000,1.32,0,0,0,,,,,,,,,,52.3718
8000000,1.31,0,0,0,,,,,,,,,,51.7538
8050000,1.3,0,0,0,,,,,,,,,,51.1323
8100000,1.29,0,0,0,,,,,,,,,,50.5071
8150000,1.28,0,0,0,,,,,,,,,,49.8783
8200000,1.27,0,0,0,,,,,,,,,,49.2459
8250000,1.26,0,0,0,,,,,,,,,,48.6096
8300000,1.25,0,0,0,,,,,,,,,,47.9696
8350000,1.24,0,0,0,,,,,,,,,,47.3257
8400000,1.23,0,0,0,,,,,,,,,,46.678
8450000,1.22,0,0,0,,,,,,,,,,46.0262
8500000,1.21,0,0,0,,,,,,,,,,45.3704
8550000,1.2,0,0,0,,,,,,,,,,44.7106
8600000,1.19,0.110132,0,0,0.000000,10.562650,22.000000,,,,,,,41.0668
8650000,1.18,0.481295,0.104994,0.109303,0.000000,57.255974,89.000000,0.000000,7.849303,32.000000,0.000000,23.982178,85.000000,22.7641
8700000,1.17,0.407778,0.0472195,0.242877,22.000000,63.116207,89.000000,0.000000,3.161415,14.000000,0.000000,21.324961,48.000000,23.0978
8750000,1.16,0.387533,0.0365354,0.273862,32.000000,64.499893,89.000000,0.000000,2.184569,10.000000,0.000000,21.854773,46.000000,23.0312
8800000,1.15,0.373999,0.0348876,0.288955,36.000000,65.384880,89.000000,0.000000,1.937014,8.000000,0.000000,22.601471,46.000000,22.9528
8850000,1.14,0.362641,0.0362505,0.298819,39.000000,66.115753,89.000000,0.000000,1.948729,7.000000,1.000000,23.409033,46.000000,22.8647
8900000,1.13,0.352228,0.0389783,0.306347,41.000000,66.780243,89.000000,0.000000,2.082894,7.000000,2.000000,24.244347,46.000000,22.7709
8950000,1.12,0.3422,0.0424429,0.312741,43.000000,67.416557,89.000000,0.000000,2.282498,7.000000,3.000000,25.103420,49.000000,22.6776
9000000,1.11,0.331849,0.0462811,0.319106,45.000000,68.070206,89.000000,0.000000,2.512788,7.000000,4.000000,26.013672,51.000000,22.6068
9050000,1.1,0.318082,0.0496438,0.32956,46.000000,68.952530,89.000000,0.000000,2.723486,7.000000,4.000000,27.128077,53.000000,22.6773
9100000,1.09,0.306015,0.0528199,0.338381,47.000000,69.731079,89.000000,0.000000,2.919336,7.000000,5.000000,28.100901,53.000000,22.6593
9150000,1.08,0.294572,0.0556018,0.346914,49.000000,70.462425,89.000000,0.000000,3.092697,7.000000,6.000000,29.008081,54.000000,22.5981
9200000,1.07,0.283374,0.0594511,0.354153,50.000000,71.176918,89.000000,0.000000,3.340743,9.000000,6.000000,29.970293,56.000000,22.5515
9250000,1.06,0.272652,0.0623379,0.361799,52.000000,71.854950,89.000000,0.000000,3.517541,10.000000,7.000000,30.838970,58.000000,22.4512
9300000,1.05,0.259301,0.0659944,0.371504,54.000000,72.710777,89.000000,0.000000,3.772828,11.000000,7.000000,31.935623,60.000000,22.4935
9350000,1.04,0.247786,0.0730955,0.37593,55.000000,73.454826,89.000000,0.000000,4.235432,11.000000,8.000000,33.131004,61.000000,22.539
9400000,1.03,0.237444,0.0801443,0.379163,56.000000,74.119705,89.000000,0.000000,4.684972,12.000000,8.000000,34.244530,62.000000,22.5217
9450000,1.02,0.227129,0.087606,0.381964,58.000000,74.780724,89.000000,0.000000,5.159844,13.000000,9.000000,35.385429,63.000000,22.5097
9500000,1.01,0.217137,0.0936915,0.385754,59.000000,75.416138,89.000000,0.000000,5.539948,14.000000,10.000000,36.416161,64.000000,22.4375
9550000,1,0.20587,0.0999971,0.390672,61.000000,76.137405,89.000000,0.000000,5.950864,15.000000,11.000000,37.544731,66.000000,22.4277
9600000,0.99,0.194824,0.107086,0.394596,62.000000,76.845428,89.000000,0.000000,6.404666,16.000000,12.000000,38.711342,68.000000,22.4229
9650000,0.98,0.182961,0.113738,0.399795,64.000000,77.604927,89.000000,0.000000,6.837094,16.000000,13.000000,39.903881,69.000000,22.4396
9700000,0.97,0.171955,0.121775,0.402751,65.000000,78.314781,89.000000,0.000000,7.350833,17.000000,14.000000,41.128872,70.000000,22.447
9750000,0.96,0.160677,0.128414,0.407353,67.000000,79.042030,89.000000,0.000000,7.772390,18.000000,14.000000,42.281834,72.000000,22.4208
