t,L,a_w,a_b,l_w,l_b,t_0,t_2,t_4,t_6,t_9,temp
0,0.5,0.5,0.5,4.5,4.5,-22.2423,-20.2423,-18.2423,-16.2423,-13.2423,-17.7423
500,0.5,0,0,nan,nan,-22.2423,-20.2423,-18.2423,-16.2423,-13.2423,-17.7423
1000,0.51,0,0,nan,nan,-20.9755,-18.9755,-16.9755,-14.9755,-11.9755,-16.4755
1500,0.52,0,0,nan,nan,-19.7271,-17.7271,-15.7271,-13.7271,-10.7271,-15.2271
2000,0.53,0,0,nan,nan,-18.4967,-16.4967,-14.4967,-12.4967,-9.49667,-13.9967
2500,0.54,0,0,nan,nan,-17.2835,-15.2835,-13.2835,-11.2835,-8.2835,-12.7835
3000,0.55,0,0.000107415,nan,9,-16.0913,-14.0913,-12.0913,-10.0913,-7.08323,-11.5921
3500,0.56,0,0.000162028,nan,9,-14.9132,-12.9132,-10.9132,-8.91322,-5.90107,-10.4144
4000,0.57,0,0.000381424,nan,8.62256,-13.757,-11.757,-9.75705,-7.75705,-4.73924,-9.25984
4500,0.58,0,0.000676636,nan,8.31269,-12.6187,-10.6187,-8.61873,-6.61873,-3.59335,-8.12358
5000,0.59,0,0.00106896,nan,8.05738,-11.4986,-9.49858,-7.49858,-5.49193,-2.46335,-7.0061
5500,0.6,0,0.00148557,nan,8.02818,-10.3942,-8.39417,-6.39417,-4.38437,-1.34651,-5.90459
6000,0.61,0,0.0021571,nan,7.80152,-9.31226,-7.31226,-5.31226,-3.2982,-0.249349,-4.82714
6500,0.62,0,0.0030824,nan,7.64522,-8.25319,-6.25319,-4.24708,-2.23353,0.83444,-3.77422
7000,0.63,0,0.00478713,nan,7.68965,-7.23808,-5.23808,-3.22935,-1.21142,1.92248,-2.77085
7500,0.64,0,0.00917305,nan,8.07859,-6.3466,-4.3466,-2.33471,-0.312011,3.06777,-1.91117
8000,0.65,0,0.021305,nan,8.42966,-5.7877,-3.78341,-1.77307,0.253461,4.38614,-1.44141
8500,0.66,0,0.0417465,nan,8.60661,-5.59931,-3.59463,-1.58355,0.44448,5.83432,-1.40419
9000,0.67,0,0.0605128,nan,8.60266,-5.35947,-3.35446,-1.34275,0.686531,6.9646,-1.30129
9500,0.68,0.000106564,0.0769838,9,8.52463,-5.02765,-3.02207,-1.00929,1.02207,7.6838,-1.08594
10000,0.69,0.00012467,0.0925289,9,8.44055,-4.67479,-2.66851,-0.654504,1.37921,8.2319,-0.841941
10500,0.7,0.000142407,0.10645,9,8.35477,-4.26603,-2.25884,-0.243278,1.79637,8.79003,-0.528996
11000,0.71,0.000275481,0.120308,8.58394,8.26194,-3.86002,-1.85177,0.165534,2.21823,9.32865,-0.215926
11500,0.72,0.000311332,0.135701,8.56799,8.15165,-3.52936,-1.52014,0.498726,2.58496,9.76192,0.0127062
12000,0.73,0.000342254,0.150772,8.55896,8.05216,-3.20013,-1.1899,0.830492,2.98796,10.1745,0.243031
12500,0.74,0.000488507,0.164263,8.19638,7.96485,-2.81043,-0.802078,1.22021,3.53123,10.6456,0.542936
13000,0.75,0.000551719,0.177603,8.15718,7.87633,-2.42996,-0.420622,1.60376,4.23853,11.1067,0.83808
13500,0.76,0.000603555,0.192629,8.13433,7.76633,-2.12177,-0.111529,1.91469,5.10535,11.4782,1.05253
14000,0.77,0.000645847,0.208082,8.12018,7.65636,-1.84109,0.169967,2.19782,6.03105,11.8083,1.23817
14500,0.78,0.000819047,0.221899,7.78037,7.56713,-1.50451,0.507542,2.53733,6.85908,12.1948,1.49087
15000,0.79,0.000899456,0.234873,7.73243,7.48427,-1.14717,0.866084,2.90188,7.52955,12.6038,1.76983
15500,0.8,0.000970669,0.248863,7.70129,7.38665,-0.83253,1.18189,3.23078,8.03643,12.9628,2.00211
16000,0.81,0.00113493,0.263967,7.42878,7.27755,-0.561978,1.45348,3.5308,8.42981,13.2676,2.18636
16500,0.82,0.00122282,0.278185,7.36239,7.18142,-0.27189,1.74466,3.8783,8.81571,13.5893,2.39533
17000,0.83,0.00131867,0.290915,7.30694,7.10211,0.0634562,2.08137,4.32974,9.2453,13.9585,2.6581
17500,0.84,0.00141237,0.303603,7.2664,7.0205,0.395819,2.41522,4.89328,9.66785,14.3231,2.9194
18000,0.85,0.00160797,0.317595,7.00514,6.9223,0.683351,2.70412,5.56837,10.03,14.6367,3.13164
18500,0.86,0.00170493,0.332284,6.94247,6.81755,0.937866,2.95985,6.30799,10.3431,14.9119,3.30843
19000,0.87,0.00180783,0.345818,6.88223,6.7276,1.22394,3.24729,7.01035,10.6843,15.2181,3.52301
19500,0.88,0.00202652,0.358042,6.62762,6.6519,1.55161,3.5766,7.62163,11.07,15.5668,3.78644
20000,0.89,0.00215316,0.370379,6.56852,6.5727,1.86997,3.89964,8.12427,11.4437,15.9045,4.04089
20500,0.9,0.00237701,0.384023,6.309,6.47754,2.14735,4.18273,8.52437,11.7668,16.1973,4.25069
21000,0.91,0.00249698,0.398399,6.2443,6.3752,2.39448,4.44999,8.85787,12.0506,16.4564,4.42809
21500,0.92,0.00273043,0.41172,5.97871,6.28582,2.67221,4.76689,9.20925,12.3635,16.7455,4.64164
22000,0.93,0.002883,0.423692,5.90881,6.21092,2.98517,5.15808,9.59604,12.7137,17.0699,4.89623
22500,0.94,0.00315146,0.43557,5.6358,6.13527,3.29911,5.62999,9.98449,13.067,17.3973,5.15697
23000,0.95,0.00331185,0.44864,5.56279,6.04532,3.5778,6.17942,10.3244,13.3766,17.6841,5.37611
23500,0.96,0.00345891,0.46277,5.4942,5.94437,3.82344,6.78637,10.6189,13.6471,17.9355,5.55964
24000,0.97,0.00360981,0.476229,5.42657,5.85178,4.08492,7.38864,10.9242,13.9316,18.2019,5.76238
24500,0.98,0.00377805,0.488226,5.3583,5.7747,4.38535,7.93575,11.2702,14.2563,18.5066,6.00996
25000,0.99,0.0039566,0.499704,5.29098,5.70178,4.7007,8.41442,11.6307,14.5953,18.8245,6.27471
25500,1,0.00412928,0.512073,5.22707,5.61803,4.9948,8.81811,11.9633,14.9083,19.1177,6.51481
26000,1.01,0.0042855,0.525856,5.16814,5.51939,5.25716,9.15152,12.2508,15.1796,19.3722,6.71429
26500,1.02,0.00443587,0.539656,5.11271,5.42163,5.5265,9.46535,12.5318,15.4467,19.6237,6.9128
27000,1.03,0.00459906,0.55203,5.05868,5.33881,5.84848,9.81085,12.849,15.7498,19.9096,7.15215
27500,1.04,0.00477555,0.563366,5.00632,5.26551,6.23257,10.1839,13.1945,16.0802,20.2212,7.42272
28000,1.05,0.00495135,0.575071,4.95724,5.18699,6.67584,10.5471,13.5318,16.4031,20.525,7.68728
28500,1.06,0.00511187,0.588195,4.91338,5.09371,7.17646,10.87,13.8327,16.6913,20.7959,7.91722
29000,1.07,0.00525803,0.601995,4.87533,4.99465,7.71461,11.1692,14.1137,16.9613,21.0501,8.13033
29500,1.08,0.00540961,0.614404,4.84181,4.91,8.25121,11.498,14.4257,17.2622,21.3342,8.37928
30000,1.09,0.00557921,0.624607,4.81209,4.84607,8.76681,11.8799,14.7901,17.6142,21.666,8.68537
30500,1.1,0.00576401,0.633115,4.78615,4.79645,9.26989,12.304,15.1958,18.0062,22.035,9.0372
31000,1.11,0.0059586,0.640496,4.76405,4.75473,9.77425,12.757,15.6303,18.4264,22.4297,9.42236
31500,1.12,0.0061604,0.647029,4.74585,4.71756,10.2886,13.2328,16.0883,18.8697,22.845,9.83563
32000,1.13,0.00636896,0.652814,4.73156,4.68343,10.8178,13.7304,16.5687,19.335,23.2798,10.2763
32500,1.14,0.00658504,0.657874,4.72121,4.6515,11.3655,14.2509,17.0725,19.8232,23.7344,10.7457
33000,1.15,0.00681018,0.662198,4.71487,4.62115,11.9351,14.7968,17.6022,20.3366,24.2103,11.2465
33500,1.16,0.0070467,0.665753,4.7127,4.59179,12.5311,15.3716,18.1611,20.8782,24.7096,11.7829
34000,1.17,0.007298,0.668473,4.71502,4.56277,13.1595,15.9808,18.7542,21.4527,25.2354,12.3606
34500,1.18,0.00756916,0.670252,4.72241,4.53333,13.8286,16.6322,19.3891,22.0671,25.7925,12.9883
35000,1.19,0.00786813,0.670909,4.73586,4.50243,14.5513,17.338,20.0775,22.7322,26.3884,13.6797
35500,1.2,0.00820812,0.670132,4.75712,4.46848,15.3486,18.1186,20.839,23.4664,27.0357,14.4576
36000,1.21,0.00865836,0.667269,4.81031,4.42826,16.266,19.0186,21.7168,24.3101,27.7583,15.3719
36500,1.22,0.00948624,0.660577,4.98181,4.37315,17.4291,20.1612,22.8304,25.376,28.6192,16.5608
37000,1.23,0.0115869,0.643777,5.44341,4.27435,19.2653,21.9668,24.5877,27.0481,29.8625,18.4984
37500,1.24,0.0208459,0.5675,6.55196,3.92154,24.7494,27.3561,29.8101,31.9486,33.3951,24.5329
38000,1.25,0.0107302,0.0234047,6.1934,0.945498,43.6748,45.4764,47.3682,49.319,52.0967,47.8483
38500,1.26,0.00162345,0,2.65943,nan,44.1464,46.1466,48.1476,50.1489,53.1564,48.6634
39000,1.27,0.00113777,0,2.02244,nan,44.7681,46.7683,48.7692,50.7763,53.7763,49.2809
39500,1.28,0.000827903,0,1.66423,nan,45.3928,47.3931,49.3938,51.3995,54.3995,49.9027
40000,1.29,0.000578188,0,1.28511,nan,46.0157,48.016,50.0212,52.0212,55.0212,50.5233
40500,1.3,0.000378579,0,0.882804,nan,46.6365,48.6368,50.641,52.641,55.641,51.1423
41000,1.31,0.000220433,0,0.455127,nan,47.255,49.2586,51.2586,53.2586,56.2586,51.7593
41500,1.32,0,0,nan,nan,47.8718,49.8718,51.8718,53.8718,56.8718,52.3718
42000,1.33,0,0,nan,nan,48.4863,50.4863,52.4863,54.4863,57.4863,52.9863
42500,1.34,0,0,nan,nan,49.0973,51.0973,53.0973,55.0973,58.0973,53.5973
43000,1.35,0,0,nan,nan,49.7049,51.7049,53.7049,55.7049,58.7049,54.2049
43500,1.36,0,0,nan,nan,50.3092,52.3092,54.3092,56.3092,59.3092,54.8092
44000,1.37,0,0,nan,nan,50.9101,52.9101,54.9101,56.9101,59.9101,55.4101
44500,1.38,0,0,nan,nan,51.5078,53.5078,55.5078,57.5078,60.5078,56.0078
45000,1.39,0,0,nan,nan,52.1022,54.1022,56.1022,58.1022,61.1022,56.6022
45500,1.4,0,0,nan,nan,52.6934,54.6934,56.6934,58.6934,61.6934,57.1934
46000,1.41,0,0,nan,nan,53.2815,55.2815,57.2815,59.2815,62.2815,57.7815
46500,1.42,0,0,nan,nan,53.8664,55.8664,57.8664,59.8664,62.8664,58.3664
47000,1.43,0,0,nan,nan,54.4483,56.4483,58.4483,60.4483,63.4483,58.9483
47500,1.44,0,0,nan,nan,55.0271,57.0271,59.0271,61.0271,64.0271,59.5271
48000,1.45,0,0,nan,nan,55.6029,57.6029,59.6029,61.6029,64.6029,60.1029
48500,1.46,0,0,nan,nan,56.1757,58.1757,60.1757,62.1757,65.1757,60.6757
49000,1.47,0,0,nan,nan,56.7456,58.7456,60.7456,62.7456,65.7456,61.2456
49500,1.48,0,0,nan,nan,57.3126,59.3126,61.3126,63.3126,66.3126,61.8126
