t,L,a_w,a_b,l_w,l_b,temp
0,0.5,0.5,0,4.5,nan,-35.4559
5000,0.5,0,0,nan,nan,-17.7423
10000,0.51,0,0,nan,nan,-16.4755
15000,0.52,0,0,nan,nan,-15.2271
20000,0.53,0,0,nan,nan,-13.9967
25000,0.54,0,0,nan,nan,-12.7835
30000,0.55,0,0,nan,nan,-11.5871
35000,0.56,0,0,nan,nan,-10.4068
40000,0.57,0,0,nan,nan,-9.24232
45000,0.58,0,0,nan,nan,-8.09303
50000,0.59,0,0,nan,nan,-6.95849
55000,0.6,0,0,nan,nan,-5.83829
60000,0.61,0,0,nan,nan,-4.73201
65000,0.62,0,0,nan,nan,-3.63924
70000,0.63,0,0,nan,nan,-2.55962
75000,0.64,0,0,nan,nan,-1.49278
80000,0.65,0,0,nan,nan,-0.438358
85000,0.66,0,0,nan,nan,0.603963
90000,0.67,0,0,nan,nan,1.6345
95000,0.68,0,0,nan,nan,2.65357
100000,0.69,0,0,nan,nan,3.66146
105000,0.7,0,0,nan,nan,4.65846
110000,0.71,0,0,nan,nan,5.64483
115000,0.72,0,0,nan,nan,6.62082
120000,0.73,0,0,nan,nan,7.58671
125000,0.74,0,0,nan,nan,8.54273
130000,0.75,0,0,nan,nan,9.48911
135000,0.76,0.000288422,0,9,nan,10.4115
140000,0.77,0.00414296,0,8.77135,nan,11.1464
145000,0.78,0.0184698,0,8.80047,nan,11.3397
150000,0.79,0.0326701,0,8.64176,nan,11.5388
155000,0.8,0.0473793,0,8.48594,nan,11.709
160000,0.81,0.063,0,8.29932,nan,11.8375
165000,0.82,0.078673,0,8.13779,nan,11.9584
170000,0.83,0.094547,0,7.97672,nan,12.0686
175000,0.84,0.110811,0,7.81239,nan,12.1608
180000,0.85,0.126628,0,7.67542,nan,12.2642
185000,0.86,0.143271,0,7.51034,nan,12.3394
190000,0.87,0.159365,0,7.37408,nan,12.4279
195000,0.88,0.175485,0,7.23942,nan,12.5139
200000,0.89,0.192282,0,7.08476,nan,12.5803
205000,0.9,0.208304,0,6.96113,nan,12.6642
210000,0.91,0.224598,0,6.82942,nan,12.7411
215000,0.92,0.241491,0,6.68208,nan,12.8041
220000,0.93,0.257589,0,6.56215,nan,12.883
225000,0.94,0.273876,0,6.43745,nan,12.9583
230000,0.95,0.290928,0,6.2937,nan,13.0196
235000,0.96,0.307161,0,6.17562,nan,13.0951
240000,0.97,0.323322,0,6.06003,nan,13.1727
245000,0.98,0.34046,0,5.92125,nan,13.2363
250000,0.99,0.357038,0,5.79954,nan,13.3086
255000,1,0.373073,0,5.69193,nan,13.3896
260000,1.01,0.390058,0,5.56334,nan,13.4604
265000,1.02,0.407102,0,5.43635,nan,13.5318
270000,1.03,0.422858,0,5.33897,nan,13.6188
275000,1.04,0.437819,0,5.25761,nan,13.716
280000,1.05,0.452201,0,5.18623,nan,13.8215
285000,1.06,0.466047,0,5.12292,nan,13.935
290000,1.07,0.479378,0,5.06648,nan,14.0567
295000,1.08,0.492213,0,5.01597,nan,14.1865
300000,1.09,0.504567,0,4.97062,nan,14.3246
305000,1.1,0.516454,0,4.92978,nan,14.4711
310000,1.11,0.527888,0,4.8929,nan,14.626
315000,1.12,0.53888,0,4.85952,nan,14.7896
320000,1.13,0.549443,0,4.82924,nan,14.9618
325000,1.14,0.559589,0,4.8017,nan,15.1429
330000,1.15,0.569326,0,4.77662,nan,15.333
335000,1.16,0.578665,0,4.75372,nan,15.5321
340000,1.17,0.587616,0,4.73278,nan,15.7403
345000,1.18,0.596187,0,4.71359,nan,15.9579
350000,1.19,0.604387,0,4.69598,nan,16.185
355000,1.2,0.612223,0,4.67978,nan,16.4216
360000,1.21,0.619703,0,4.66485,nan,16.6679
